Vintage,Coefficient,Estimate,Bootstrap 95% low,Bootstrap 95% high
2012,a_v,15.734320452799269,15.689585657773817,15.782154173472005
2012,a_s,17.89792437215714,17.753898623833724,18.050599674418308
2012,a_c,0.7156581295156216,0.7126118863612856,0.7189434863427989
2012,a_a,23.282823323641132,23.155198973074537,23.41122038237592
2012,a_p,12.113961056948558,10.493084459115062,13.742968824131967
2016,a_v,15.747612558694238,15.703321812931442,15.790791994468082
2016,a_s,17.937251406180785,17.796055030978398,18.076475476011215
2016,a_c,0.7166615028633649,0.7136708499807242,0.7196083666803643
2016,a_a,23.307619056829857,23.18283309882147,23.425997960070337
2016,a_p,12.144564833254774,10.535556215283906,13.750385444336416
2020,a_v,15.721819394357787,15.67844965695124,15.763725758974886
2020,a_s,17.85062439689784,17.712190336256683,17.985727420161663
2020,a_c,0.7151955004397407,0.7122963705041548,0.7180867645560178
2020,a_a,23.22909046516164,23.10946699539996,23.34424249233486
2020,a_p,11.596396026772116,10.016543207799586,13.189299783466055
