vintage,domain,n,a_v,a_s,a_c,a_a,a_p,condition_number,rank
2012,D0_primary,2235,15.734320452799269,17.89792437215714,0.7156581295156216,23.282823323641132,12.113961056948558,11976.829485161265,5
2012,D1_A_ge_50,2025,15.732370183968044,17.88243157871469,0.7156635455506684,23.304808729916427,12.56815134911107,14143.679541764683,5
2012,D2_broad_measured,2353,15.604103295222302,17.471520966113246,0.7073395742569606,22.985203377320126,12.133997540668375,11591.994984611953,5
2012,D3_primary_precision,2235,15.734320452799269,17.89792437215714,0.7156581295156216,23.282823323641132,12.113961056948558,11976.829485161265,5
2016,D0_primary,2271,15.747612558694238,17.937251406180785,0.7166615028633649,23.307619056829857,12.144564833254774,11974.6397128319,5
2016,D1_A_ge_50,2069,15.700293288822971,17.772886510516948,0.7138238533540288,23.22222239762483,12.528986834681316,14043.208105771768,5
2016,D2_broad_measured,2408,15.564137915463204,17.338631581341506,0.7049723212456129,22.877094294557445,12.004057851992322,11562.641299038654,5
2016,D3_primary_precision,2271,15.747612558694238,17.937251406180785,0.7166615028633649,23.307619056829857,12.144564833254774,11974.6397128319,5
2020,D0_primary,2339,15.721819394357787,17.85062439689784,0.7151955004397407,23.22909046516164,11.596396026772116,11796.87062077454,5
2020,D1_A_ge_50,2126,15.671072999662307,17.67467230589519,0.7121253823138057,23.140467761311807,12.10972223906079,13924.984599863428,5
2020,D2_broad_measured,2457,15.5656525808265,17.340691720223383,0.7051775905132712,22.879167296352197,12.418512734924976,11608.850599203437,5
2020,D3_primary_precision,2339,15.721819394357787,17.85062439689784,0.7151955004397407,23.22909046516164,11.596396026772116,11796.87062077454,5
