regime,coefficient,sigma_multiple,physics_mae,data_mae,soft_mae,residual_mae,G_soft,G_residual
R0_random,a_v,-2,6.668323373326038,1.881313670267039,1.881313670267039,1.8170076043609713,1.0,1.0353911925033927
R0_random,a_v,-1,3.7095151772525043,1.881313670267039,1.881313670267039,1.8170298958837627,1.0,1.0353784902102616
R0_random,a_v,1,3.961624381166189,1.881313670267039,1.881313670267039,1.8170744789294284,1.0,1.0353530865589278
R0_random,a_v,2,6.7289473219429965,1.881313670267039,1.881313670267039,1.81709677045233,1.0,1.0353403852006866
R0_random,a_s,-2,4.443364030124382,1.881313670267039,1.881313670267039,1.817349734667665,1.0,1.0351962720103904
R0_random,a_s,-1,3.0164751582066756,1.881313670267039,1.881313670267039,1.8172009610371285,1.0,1.035281023180463
R0_random,a_s,1,2.700984152530264,1.881313670267039,1.881313670267039,1.8169034137760727,1.0,1.0354505671587144
R0_random,a_s,2,4.1541617073903705,1.881313670267039,1.881313670267039,1.8167546401455303,1.0,1.035535359973726
R0_random,a_c,-2,3.2909952033818572,1.881313670267039,1.881313670267039,1.8168931560351707,1.0,1.0354564130630812
R0_random,a_c,-1,2.6096751059662027,1.881313670267039,1.881313670267039,1.8169726717209003,1.0,1.0354110986629204
R0_random,a_c,1,2.4143286478416726,1.881313670267039,1.881313670267039,1.8171317030923164,1.0,1.035320481760073
R0_random,a_c,2,3.0638322874876422,1.881313670267039,1.881313670267039,1.8172112187780247,1.0,1.035275179256333
R0_random,a_a,-2,2.392879010934578,1.881313670267039,1.881313670267039,1.8170926959524656,1.0,1.035342706763185
R0_random,a_a,-1,2.316145956690843,1.881313670267039,1.881313670267039,1.8170724416795263,1.0,1.035354247367339
R0_random,a_a,1,2.221527158025689,1.881313670267039,1.881313670267039,1.8170319331336726,1.0,1.0353773293474846
R0_random,a_a,2,2.2412378389646896,1.881313670267039,1.881313670267039,1.8170116788607362,1.0,1.0353888707235057
R0_random,a_p,-2,2.2590094249053134,1.881313670267039,1.881313670267039,1.8171347471907195,1.0,1.0353187473716738
R0_random,a_p,-1,2.255768939496756,1.881313670267039,1.881313670267039,1.8170934672986565,1.0,1.0353422672658958
R0_random,a_p,1,2.2504201865603943,1.881313670267039,1.881313670267039,1.81701090751454,1.0,1.0353893102603648
R0_random,a_p,2,2.2495694862351403,1.881313670267039,1.881313670267039,1.8169696276224816,1.0,1.0354128333607602
R1_Ca,a_v,-2,3.313705790943109,1.8109097823178277,1.8109097823178277,2.006087018516933,1.0,0.902707492547658
R1_Ca,a_v,-1,2.9646248038157346,1.8109097823178277,1.8109097823178277,2.0061264021972445,1.0,0.9026897708610971
R1_Ca,a_v,1,2.9732018227078596,1.8109097823178277,1.8109097823178277,2.0062051695568774,1.0,0.9026543295757803
R1_Ca,a_v,2,3.225203624189317,1.8109097823178277,1.8109097823178277,2.0062445532370994,1.0,0.9026366099765372
R1_Ca,a_s,-2,3.225138034827628,1.8109097823178277,1.8109097823178277,2.0048148531439582,1.0,0.9032803101383413
R1_Ca,a_s,-1,2.98606226112901,1.8109097823178277,1.8109097823178277,2.005490319510512,1.0,0.9029760775708077
R1_Ca,a_s,1,2.9237282000812987,1.8109097823178277,1.8109097823178277,2.006841252243538,1.0,0.9023682268307621
R1_Ca,a_s,2,3.2239050783663377,1.8109097823178277,1.8109097823178277,2.0075167186099843,1.0,0.9020646082448129
R1_Ca,a_c,-2,2.946461249516586,1.8109097823178277,1.8109097823178277,2.0062628479731366,1.0,0.9026283790019499
