old,new,coefficient,old_value,new_value,absolute_change,fractional_change,change_in_old_bootstrap_sd,vector_mahalanobis_distance
2012,2016,a_v,15.734320452799269,15.747612558694238,0.013292105894969097,0.0008447842367799443,0.5608084304970296,0.681549577044494
2012,2016,a_s,17.89792437215714,17.937251406180785,0.039327034023646235,0.0021972957984348865,0.51954695267688,0.681549577044494
2012,2016,a_c,0.7156581295156216,0.7166615028633649,0.0010033733477433637,0.0014020288547863995,0.6246216661512815,0.681549577044494
2012,2016,a_a,23.282823323641132,23.307619056829857,0.024795733188724967,0.0010649796566358704,0.3866231306838828,0.681549577044494
2012,2016,a_p,12.113961056948558,12.144564833254774,0.0306037763062168,0.0025263228239174916,0.03684844709429152,0.681549577044494
2016,2020,a_v,15.747612558694238,15.721819394357787,-0.025793164336450403,-0.0016379095078898184,-1.1550918688066585,1.5217860274437172
2016,2020,a_s,17.937251406180785,17.85062439689784,-0.08662700928294598,-0.00482944723922954,-1.2118312389667398,1.5217860274437172
2016,2020,a_c,0.7166615028633649,0.7151955004397407,-0.0014660024236242686,-0.0020455995163225185,-0.9723298955674471,1.5217860274437172
2016,2020,a_a,23.307619056829857,23.22909046516164,-0.07852859166821702,-0.003369224092634451,-1.2693488478447699,1.5217860274437172
2016,2020,a_p,12.144564833254774,11.596396026772116,-0.5481688064826589,-0.04513696571338968,-0.6558786339767071,1.5217860274437172
