N,Z,A,B_exp,B_BWN_published,residual
39,30,69,601.8684459000001,601.7166976885934,0.15174821140669792
38,31,69,601.9960061999999,601.6707380233302,0.32526817666973784
37,32,69,598.9865159999999,599.6810754412378,-0.6945594412378568
36,33,69,594.2156766,595.1346071508858,-0.9189305508857615
35,34,69,586.7558657999999,588.0767964689886,-1.3209306689886944
34,35,69,575.7982794,576.7865727251792,-0.9882933251792565
43,27,70,590.39386,591.4252864985962,-1.0314264985961472
42,28,70,602.300419,603.4422838140715,-1.1418648140714822
41,29,70,605.280585,605.81678134467,-0.5361963446699747
40,30,70,611.0866020000001,611.1867391246366,-0.10013712463648972
39,31,70,609.649656,609.0574291897619,0.5922268102381167
38,32,70,610.519196,610.6792752173789,-0.1600792173788932
37,33,70,603.508787,604.3628961054595,-0.8541091054595427
36,34,70,600.3223659999999,601.4220150501944,-1.0996490501945573
35,35,70,589.0357479999999,589.3854649427378,-0.34971694273792764
44,27,71,596.3101424,597.1416484170126,-0.8315060170125435
43,28,71,606.5641043999999,607.9866542180966,-1.4225498180967406
42,29,71,613.0866543000001,613.5558286461882,-0.4691743461880833
41,30,71,616.9219606999999,617.5138371351774,-0.5918764351774826
40,31,71,618.9499549999999,618.8228681618699,0.12708683813002608
39,32,71,617.9351377999999,618.2883054982966,-0.35316769829671557
38,33,71,615.1393850000001,615.7162329937661,-0.5768479937660231
37,34,71,609.6103026000001,611.0045362122324,-1.3942336122323695
36,35,71,602.1838659,603.5516861202369,-1.367820220236922
35,36,71,591.2263009999999,592.0151867022906,-0.7888857022907132
44,28,72,613.4552496,614.6277533866669,-1.17250378666688
43,29,72,618.2298432,618.9982003551643,-0.7683571551642672
42,30,72,625.8099816,626.1639035824178,-0.3539219824177735
41,31,72,625.4704295999999,626.0013357566403,-0.5309061566404125
40,32,72,628.6857047999999,628.900479206679,-0.21477440667911196
39,33,72,623.5472592,624.1476597496979,-0.6004005496979516
38,34,72,622.4032944,623.2047320561574,-0.8014376561573044
37,35,72,612.8145072,614.0580770622703,-1.2435698622703057
36,36,72,606.9109896,607.7826012850335,-0.8716116850334856
45,28,73,617.4086616999999,618.5062139072578,-1.097552207257877
44,29,73,625.5056027,625.9423540052053,-0.43675130520523453
43,30,73,631.3292215,631.8082699326096,-0.47904843260960206
42,31,73,634.6528020000001,634.9345851300006,-0.2817831300005764
41,32,73,635.4686499999999,636.2693153005204,-0.8006653005204498
40,33,73,634.3415226999999,635.048744170636,-0.7072214706361137
39,34,73,630.8338143000001,631.9034979674741,-1.0696836674740098
38,35,73,625.4698619000001,626.696428102267,-1.2265662022668948
37,36,73,617.5934831,619.0120533745246,-1.4185702745246545
36,37,73,606.2709933,607.2315773795152,-0.960584079515229
45,29,74,630.5956842,630.7254870404238,-0.1298028404237357
44,30,74,639.5638478,639.6734873094484,-0.10963950944847056
43,31,74,641.0744024,641.4377122681827,-0.3633098681826823
42,32,74,645.6648814000001,646.0570713028992,-0.3921899028990765
41,33,74,642.320148,643.2175037126,-0.8973557125999605
