method,observable,n,mae,rmse,bias,median_ae,p95_ae,regime
B_ridge_soft,delta2p,12,0.22852141110832727,0.28675408727923996,0.18555349213106828,0.18012022551687323,0.5188067096395229,R0_random
B_ridge_residual,Sn,98,0.44676402965987827,0.589448006771713,-0.03612775815687851,0.31889102119134805,1.1896905538938984,R0_random
B_ridge_residual,S2n,76,0.7666712011594126,1.0198401673423116,-0.013697617888290381,0.6013088349536702,2.039402711164236,R0_random
B_ridge_residual,Sp,86,0.45986204035468176,0.667253053115857,0.10891632373625056,0.2898361726112171,1.3613960689301052,R0_random
B_ridge_residual,S2p,82,0.7166104107496252,0.8915176066886442,0.11644281601424973,0.6460555531834871,1.678175978003455,R0_random
B_ridge_residual,Qalpha,0,,,,,,R0_random
B_ridge_residual,delta2n,11,0.43081175367160024,0.5995662277496192,0.09211978710375103,0.3754857613457716,1.172473026779386,R0_random
B_ridge_residual,delta2p,12,0.2508664332168564,0.32079765809575017,0.21737582192423588,0.18186650976360852,0.6100905700693317,R0_random
B_ridge_adaptive,Sn,98,0.4943521571592259,0.7372794201344944,0.003967212125490148,0.3489913976994501,1.2599402222946365,R0_random
B_ridge_adaptive,S2n,76,0.7262047499702717,0.9634183252140145,0.01561020630721207,0.5089390842537966,1.9465310814444052,R0_random
B_ridge_adaptive,Sp,86,0.4869783747063284,0.687480554280017,0.10055303560275031,0.3704096776696133,1.280747194115797,R0_random
B_ridge_adaptive,S2p,82,0.857766152944472,1.1346848072986413,0.09272479617316226,0.8020246062972092,1.9646417767058428,R0_random
B_ridge_adaptive,Qalpha,0,,,,,,R0_random
B_ridge_adaptive,delta2n,11,0.37548618498445047,0.4459744196706444,0.3354664405897138,0.35096547152124913,0.7834355600165566,R0_random
B_ridge_adaptive,delta2p,12,0.3006427780688057,0.38367614091488045,0.2956144543195383,0.31051768604959307,0.6670067077049509,R0_random
B_bwn,Sn,98,0.25531107134854436,0.3457687374746367,-0.027245453735835784,0.2011135903169361,0.6327530933894676,R0_random
