regime,family,mechanism,observable,n,G
R1_Sn,mlp,soft,Sn,31,1.0705710417403915
R1_Sn,mlp,soft,S2n,30,1.0176913840111297
R1_Sn,mlp,soft,delta2n,28,1.4740361501177053
R1_Sn,mlp,residual,Sn,31,3.2397373383357135
R1_Sn,mlp,residual,S2n,30,5.100107606748977
R1_Sn,mlp,residual,delta2n,28,3.6928695879404194
R1_Sn,mlp,adaptive,Sn,31,1.0586330480222481
R1_Sn,mlp,adaptive,S2n,30,1.0098414901994788
R1_Sn,mlp,adaptive,delta2n,28,1.4713157140682083
R1_Ni,ridge,soft,Sn,21,1.0
R1_Ni,ridge,soft,S2n,20,1.0
R1_Ni,ridge,soft,delta2n,18,1.0
R1_Ni,ridge,residual,Sn,21,1.3681424709246353
R1_Ni,ridge,residual,S2n,20,1.238957252858096
R1_Ni,ridge,residual,delta2n,18,1.0416627675647332
R1_Ni,ridge,adaptive,Sn,21,1.1628531984866226
R1_Ni,ridge,adaptive,S2n,20,1.0337652640490398
R1_Ni,ridge,adaptive,delta2n,18,0.9649431377500356
R1_Ni,hgb,soft,Sn,21,2.2573116436068466
R1_Ni,hgb,soft,S2n,20,1.6346751970848095
R1_Ni,hgb,soft,delta2n,18,1.9900492377603813
R1_Ni,hgb,residual,Sn,21,5.294519328959741
R1_Ni,hgb,residual,S2n,20,4.0052357617248875
R1_Ni,hgb,residual,delta2n,18,3.718639078636953
R1_Ni,hgb,adaptive,Sn,21,1.7357707390354995
R1_Ni,hgb,adaptive,S2n,20,1.4939938010065923
R1_Ni,hgb,adaptive,delta2n,18,1.6362533965329609
R1_Ni,mlp,soft,Sn,21,1.5998421856283485
R1_Ni,mlp,soft,S2n,20,1.6103554316761313
R1_Ni,mlp,soft,delta2n,18,1.6284975905809507
R1_Ni,mlp,residual,Sn,21,2.8229653157802064
R1_Ni,mlp,residual,S2n,20,2.9404918299633254
R1_Ni,mlp,residual,delta2n,18,2.5264847727986752
R1_Ni,mlp,adaptive,Sn,21,1.5817245644394562
R1_Ni,mlp,adaptive,S2n,20,1.598609325841186
R1_Ni,mlp,adaptive,delta2n,18,1.5866286097386784
R1_Pb,ridge,soft,Sn,37,1.0
R1_Pb,ridge,soft,S2n,36,1.0
R1_Pb,ridge,soft,delta2n,34,1.0
R1_Pb,ridge,residual,Sn,37,0.9752876146248988
R1_Pb,ridge,residual,S2n,36,1.012137789945355
R1_Pb,ridge,residual,delta2n,34,1.000150935759339
R1_Pb,ridge,adaptive,Sn,37,0.9878911541801668
R1_Pb,ridge,adaptive,S2n,36,0.9359483009332324
R1_Pb,ridge,adaptive,delta2n,34,0.9767644649870558
R1_Pb,hgb,soft,Sn,37,2.0427727778452835
R1_Pb,hgb,soft,S2n,36,1.8206504522918303
R1_Pb,hgb,soft,delta2n,34,2.355367020853099
R1_Pb,hgb,residual,Sn,37,5.384285682623972
R1_Pb,hgb,residual,S2n,36,6.1261242995151965
R1_Pb,hgb,residual,delta2n,34,5.564803800712139
R1_Pb,hgb,adaptive,Sn,37,1.7182175841838971
R1_Pb,hgb,adaptive,S2n,36,1.8866561909859876
R1_Pb,hgb,adaptive,delta2n,34,1.8090080873739887
R1_Pb,mlp,soft,Sn,37,1.4701896858064578
R1_Pb,mlp,soft,S2n,36,1.5361297975809367
R1_Pb,mlp,soft,delta2n,34,1.7303821403157706
R1_Pb,mlp,residual,Sn,37,5.1870158510600355
R1_Pb,mlp,residual,S2n,36,9.150551506158289
R1_Pb,mlp,residual,delta2n,34,3.0633224501842733
R1_Pb,mlp,adaptive,Sn,37,1.4324710817753286
R1_Pb,mlp,adaptive,S2n,36,1.486759815338858
R1_Pb,mlp,adaptive,delta2n,34,1.6473370758782468
R2_neutron_rich,ridge,soft,Sn,390,1.0
R2_neutron_rich,ridge,soft,S2n,307,1.0
R2_neutron_rich,ridge,soft,Sp,330,1.0
R2_neutron_rich,ridge,soft,S2p,219,1.0
R2_neutron_rich,ridge,soft,delta2n,143,1.0
R2_neutron_rich,ridge,soft,delta2p,58,1.0
R2_neutron_rich,ridge,residual,Sn,390,1.3209452790132417
R2_neutron_rich,ridge,residual,S2n,307,1.1181532989347969
R2_neutron_rich,ridge,residual,Sp,330,1.192361601481193
R2_neutron_rich,ridge,residual,S2p,219,1.1269721377720119
R2_neutron_rich,ridge,residual,delta2n,143,1.0112807208180903
R2_neutron_rich,ridge,residual,delta2p,58,1.0200770483594044
R2_neutron_rich,ridge,adaptive,Sn,390,1.2783927627949139
R2_neutron_rich,ridge,adaptive,S2n,307,1.3743566850324003
R2_neutron_rich,ridge,adaptive,Sp,330,1.3815993267195994
R2_neutron_rich,ridge,adaptive,S2p,219,1.5571885421463154
R2_neutron_rich,ridge,adaptive,delta2n,143,1.0596816793515422
R2_neutron_rich,ridge,adaptive,delta2p,58,1.0861254646079388
R2_neutron_rich,hgb,soft,Sn,390,2.6750858945397513
R2_neutron_rich,hgb,soft,S2n,307,2.738600043588337
R2_neutron_rich,hgb,soft,Sp,330,2.880320315312735
R2_neutron_rich,hgb,soft,S2p,219,2.931490026761793
R2_neutron_rich,hgb,soft,delta2n,143,2.341161746515601
R2_neutron_rich,hgb,soft,delta2p,58,2.3059813140549412
R2_neutron_rich,hgb,residual,Sn,390,6.004269695914317
R2_neutron_rich,hgb,residual,S2n,307,6.918765306843221
R2_neutron_rich,hgb,residual,Sp,330,5.922275732020572
R2_neutron_rich,hgb,residual,S2p,219,7.005395374927312
R2_neutron_rich,hgb,residual,delta2n,143,4.58137262041918
R2_neutron_rich,hgb,residual,delta2p,58,4.689021239977491
R2_neutron_rich,hgb,adaptive,Sn,390,1.8179595390015706
R2_neutron_rich,hgb,adaptive,S2n,307,1.7925834525175153
R2_neutron_rich,hgb,adaptive,Sp,330,1.7612511643092499
R2_neutron_rich,hgb,adaptive,S2p,219,1.7745984980957448
R2_neutron_rich,hgb,adaptive,delta2n,143,1.7295473701572925
R2_neutron_rich,hgb,adaptive,delta2p,58,1.668557938248259
R2_neutron_rich,mlp,soft,Sn,390,2.337768633008974
R2_neutron_rich,mlp,soft,S2n,307,2.6091958755822042
R2_neutron_rich,mlp,soft,Sp,330,2.594444867571526
R2_neutron_rich,mlp,soft,S2p,219,2.8227868087908226
R2_neutron_rich,mlp,soft,delta2n,143,1.7059494916789844
R2_neutron_rich,mlp,soft,delta2p,58,2.273868984926186
R2_neutron_rich,mlp,residual,Sn,390,5.204692390299262
R2_neutron_rich,mlp,residual,S2n,307,9.587307752499779
R2_neutron_rich,mlp,residual,Sp,330,6.0768987703285795
R2_neutron_rich,mlp,residual,S2p,219,9.546087388492868
R2_neutron_rich,mlp,residual,delta2n,143,2.741615458007978
R2_neutron_rich,mlp,residual,delta2p,58,6.187008471554609
R2_neutron_rich,mlp,adaptive,Sn,390,1.8661825838271802
R2_neutron_rich,mlp,adaptive,S2n,307,1.972067397685531
R2_neutron_rich,mlp,adaptive,Sp,330,1.971047855340427
R2_neutron_rich,mlp,adaptive,S2p,219,2.036067504161219
R2_neutron_rich,mlp,adaptive,delta2n,143,1.4040568138062557
R2_neutron_rich,mlp,adaptive,delta2p,58,1.606065645469877
R3_proton_rich,ridge,soft,Sn,383,1.0
R3_proton_rich,ridge,soft,S2n,296,1.0
R3_proton_rich,ridge,soft,Sp,342,1.0
R3_proton_rich,ridge,soft,S2p,226,1.0
R3_proton_rich,ridge,soft,delta2n,134,1.0
R3_proton_rich,ridge,soft,delta2p,54,1.0
R3_proton_rich,ridge,residual,Sn,383,1.8328988854272221
R3_proton_rich,ridge,residual,S2n,296,1.1490934985256664
R3_proton_rich,ridge,residual,Sp,342,1.9181089092076324
R3_proton_rich,ridge,residual,S2p,226,1.3228137863536102
R3_proton_rich,ridge,residual,delta2n,134,0.9270802507398135
R3_proton_rich,ridge,residual,delta2p,54,1.1723194815019153
R3_proton_rich,ridge,adaptive,Sn,383,1.6352883747771079
R3_proton_rich,ridge,adaptive,S2n,296,1.407071058167051
R3_proton_rich,ridge,adaptive,Sp,342,1.6219401291097706
R3_proton_rich,ridge,adaptive,S2p,226,1.4990794084436485
R3_proton_rich,ridge,adaptive,delta2n,134,0.9796529164387421
R3_proton_rich,ridge,adaptive,delta2p,54,1.3261487486894068
R3_proton_rich,hgb,soft,Sn,383,2.9048699315998836
R3_proton_rich,hgb,soft,S2n,296,3.0296958891378263
R3_proton_rich,hgb,soft,Sp,342,3.06716963597689
R3_proton_rich,hgb,soft,S2p,226,3.1600004175711525
R3_proton_rich,hgb,soft,delta2n,134,2.4542577057844848
R3_proton_rich,hgb,soft,delta2p,54,2.63283615101859
R3_proton_rich,hgb,residual,Sn,383,8.226078657909698
R3_proton_rich,hgb,residual,S2n,296,10.208706508673144
R3_proton_rich,hgb,residual,Sp,342,8.949139513326747
R3_proton_rich,hgb,residual,S2p,226,10.679287964114527
R3_proton_rich,hgb,residual,delta2n,134,7.515945257886668
R3_proton_rich,hgb,residual,delta2p,54,5.823555450695776
R3_proton_rich,hgb,adaptive,Sn,383,2.826378123016459
R3_proton_rich,hgb,adaptive,S2n,296,3.1741184349738174
R3_proton_rich,hgb,adaptive,Sp,342,3.0634907275463474
R3_proton_rich,hgb,adaptive,S2p,226,3.394694345918731
R3_proton_rich,hgb,adaptive,delta2n,134,2.406083630619492
R3_proton_rich,hgb,adaptive,delta2p,54,2.926897000182956
R3_proton_rich,mlp,soft,Sn,383,2.65419749281255
R3_proton_rich,mlp,soft,S2n,296,3.028197906284678
R3_proton_rich,mlp,soft,Sp,342,2.7237045164313085
R3_proton_rich,mlp,soft,S2p,226,3.1917332393369566
R3_proton_rich,mlp,soft,delta2n,134,2.659594439663881
R3_proton_rich,mlp,soft,delta2p,54,2.9950919904075266
R3_proton_rich,mlp,residual,Sn,383,4.762293937008438
R3_proton_rich,mlp,residual,S2n,296,5.726434988247247
R3_proton_rich,mlp,residual,Sp,342,5.848922251793263
R3_proton_rich,mlp,residual,S2p,226,6.660394504385343
R3_proton_rich,mlp,residual,delta2n,134,3.658042542477995
R3_proton_rich,mlp,residual,delta2p,54,6.388355141094801
R3_proton_rich,mlp,adaptive,Sn,383,2.7699883520024016
R3_proton_rich,mlp,adaptive,S2n,296,3.5831612583778014
R3_proton_rich,mlp,adaptive,Sp,342,2.893785665594961
R3_proton_rich,mlp,adaptive,S2p,226,3.8685064870051904
R3_proton_rich,mlp,adaptive,delta2n,134,2.901545448437835
R3_proton_rich,mlp,adaptive,delta2p,54,4.306095637928767
R4_magic_pm1,ridge,soft,Sn,438,1.0
R4_magic_pm1,ridge,soft,S2n,360,1.0
R4_magic_pm1,ridge,soft,Sp,403,1.0
R4_magic_pm1,ridge,soft,S2p,294,1.0
R4_magic_pm1,ridge,soft,delta2n,275,1.0
R4_magic_pm1,ridge,soft,delta2p,187,1.0
R4_magic_pm1,ridge,residual,Sn,438,1.1935061454077067
R4_magic_pm1,ridge,residual,S2n,360,1.0260912372335178
R4_magic_pm1,ridge,residual,Sp,403,1.1891796876726006
R4_magic_pm1,ridge,residual,S2p,294,1.0708181278192104
R4_magic_pm1,ridge,residual,delta2n,275,1.038850684372819
R4_magic_pm1,ridge,residual,delta2p,187,1.1018965579493178
R4_magic_pm1,ridge,adaptive,Sn,438,1.049380118963559
R4_magic_pm1,ridge,adaptive,S2n,360,0.9496881469948921
R4_magic_pm1,ridge,adaptive,Sp,403,1.1241021694303892
R4_magic_pm1,ridge,adaptive,S2p,294,0.9876170998481796
R4_magic_pm1,ridge,adaptive,delta2n,275,0.9770371239984967
R4_magic_pm1,ridge,adaptive,delta2p,187,1.0552687545658623
R4_magic_pm1,hgb,soft,Sn,438,2.257050374534526
R4_magic_pm1,hgb,soft,S2n,360,2.0210244780040862
R4_magic_pm1,hgb,soft,Sp,403,2.262450813613352
R4_magic_pm1,hgb,soft,S2p,294,2.038721249291679
R4_magic_pm1,hgb,soft,delta2n,275,2.2696219409649876
R4_magic_pm1,hgb,soft,delta2p,187,2.1445741076391873
R4_magic_pm1,hgb,residual,Sn,438,5.722594656755119
