N,Z,observable,derived_keV,official_keV,abs_diff_keV
1,1,Sn_keV,2224.566,2224.57,0.00400000000036016
1,1,Sp_keV,2224.566,2224.57,0.00400000000036016
2,1,Sn_keV,6257.229,6257.23,0.0009999999992942321
2,1,S2n_keV,8481.795,8481.79,0.004999999999199645
1,2,Sp_keV,5493.473999999999,5493.47,0.003999999998995918
1,2,S2p_keV,7718.039999999999,7718.04,9.094947017729282e-13
3,1,Sn_keV,-1599.9989999999998,-1600.0,0.0010000000002037268
3,1,S2n_keV,4657.2300000000005,4657.23,9.094947017729282e-13
2,2,Sn_keV,20577.620000000003,20577.62,3.637978807091713e-12
2,2,Sp_keV,19813.864999999998,19813.86,0.004999999997380655
1,3,Sp_keV,-3102.999999999999,-3103.0,9.094947017729282e-13
1,3,S2p_keV,2390.474,2390.47,0.00400000000036016
4,1,Sn_keV,-200.0010000000002,-200.0,0.0010000000002037268
4,1,S2n_keV,-1800.0,-1800.0,0.0
3,2,Sn_keV,-735.0000000000036,-735.0,3.637978807091713e-12
3,2,Sp_keV,20678.863999999994,20678.86,0.00399999999353895
3,2,S2n_keV,19842.619999999995,19842.62,3.637978807091713e-12
3,2,Qalpha_keV,735.0000000000036,735.0,3.637978807091713e-12
2,3,Sn_keV,21715.619999999995,21715.62,3.637978807091713e-12
2,3,Sp_keV,-1965.0000000000036,-1965.0,3.637978807091713e-12
2,3,S2p_keV,17848.864999999998,17848.86,0.004999999997380655
2,3,Qalpha_keV,1965.0000000000036,1965.0,3.637978807091713e-12
5,1,Sn_keV,-911.9610000000002,-911.96,0.0010000000002037268
5,1,S2n_keV,-1111.9620000000004,-1111.96,0.0020000000004074536
4,2,Sn_keV,1710.4540000000052,1710.45,0.004000000005135007
4,2,Sp_keV,22589.319000000003,22589.32,0.000999999996565748
4,2,S2n_keV,975.4540000000015,975.45,0.004000000001497028
3,3,Sn_keV,5663.326000000005,5663.32,0.00600000000486034
3,3,Sp_keV,4433.326000000005,4433.32,0.00600000000486034
3,3,S2n_keV,27378.946,27378.94,0.006000000001222361
3,3,S2p_keV,25112.190000000002,25112.19,3.637978807091713e-12
3,3,Qalpha_keV,-1473.760000000002,-1473.76,2.0463630789890885e-12
2,4,Sp_keV,592.8220000000074,592.82,0.0020000000073423507
2,4,S2p_keV,-1372.1779999999962,-1372.18,0.0020000000038180588
5,2,Sn_keV,-409.7150000000038,-409.71,0.005000000003803962
5,2,Sp_keV,23091.565,23091.56,0.004999999997380655
5,2,S2n_keV,1300.7390000000014,1300.74,0.000999999998612111
4,3,Sn_keV,7251.087000000003,7251.09,0.0029999999969732016
4,3,Sp_keV,9973.959000000003,9973.96,0.000999999996565748
4,3,S2n_keV,12914.413000000008,12914.42,0.006999999992331141
4,3,S2p_keV,32563.278000000006,32563.28,0.001999999993131496
4,3,Qalpha_keV,-2467.618000000002,-2467.62,0.0019999999976789695
3,4,Sn_keV,10677.353999999992,10677.35,0.00399999999171996
3,4,Sp_keV,5606.849999999995,5606.85,5.4569682106375694e-12
3,4,S2p_keV,10040.176,10040.18,0.004000000000814907
3,4,Qalpha_keV,-1587.1359999999986,-1587.13,0.005999999998493877
2,5,Sp_keV,-2012.547000000006,-2012.55,0.002999999994017344
2,5,S2p_keV,-1419.7249999999985,-1419.72,0.004999999998517524
6,2,Sn_keV,2534.7610000000022,2534.76,0.0010000000020227162
6,2,S2n_keV,2125.0459999999985,2125.05,0.004000000001724402
5,3,Sn_keV,2032.6229999999996,2032.62,0.0029999999997016857
5,3,Sp_keV,12416.297000000006,12416.29,0.0070000000050640665
5,3,S2n_keV,9283.710000000003,9283.71,3.637978807091713e-12
5,3,S2p_keV,35507.862,35507.86,0.0020000000004074536
5,3,Qalpha_keV,-6100.240000000005,-6100.24,5.4569682106375694e-12
4,4,Sn_keV,18898.644000000008,18898.64,0.004000000008090865
4,4,Sp_keV,17254.407,17254.4,0.006999999997788109
4,4,S2n_keV,29575.998,29576.0,0.0020000000004074536
4,4,S2p_keV,27228.366,27228.37,0.0039999999971769284
4,4,Qalpha_keV,91.83999999999651,91.84,3.495870259939693e-12
3,5,Sn_keV,12826.305,12826.3,0.005000000001018634
3,5,Sp_keV,136.40400000000227,136.4,0.0040000000022644144
3,5,S2p_keV,5743.253999999997,5743.25,0.0039999999971769284
3,5,Qalpha_keV,-4826.540000000001,-4826.54,9.094947017729282e-13
2,6,Sp_keV,-98.74299999999857,-98.75,0.007000000001426088
2,6,S2p_keV,-2111.2900000000045,-2111.29,4.547473508864641e-12
7,2,Sn_keV,-1254.8270000000011,-1254.83,0.002999999998792191
7,2,S2n_keV,1279.934000000001,1279.93,0.004000000001042281
6,3,Sn_keV,4062.215999999993,4062.22,0.004000000006726623
6,3,Sp_keV,13943.751999999997,13943.75,0.001999999996769475
6,3,S2n_keV,6094.838999999993,6094.84,0.0010000000074796844
6,3,Qalpha_keV,-10362.456999999995,-10362.46,0.0030000000042491592
5,4,Sn_keV,1664.531999999992,1664.54,0.008000000007996277
5,4,Sp_keV,16886.31599999999,16886.32,0.004000000008090865
5,4,S2n_keV,20563.176,20563.18,0.004000000000814907
5,4,S2p_keV,29302.612999999998,29302.61,0.0029999999969732016
5,4,Qalpha_keV,-2307.6920000000027,-2307.7,0.007999999997082341
4,5,Sn_keV,18576.39,18576.4,0.010000000002037268
4,5,Sp_keV,-185.85000000000582,-185.85,5.8264504332328215e-12
4,5,S2n_keV,31402.695,31402.7,0.005000000001018634
4,5,S2p_keV,17068.556999999993,17068.56,0.003000000007887138
4,5,Qalpha_keV,-1687.310000000005,-1687.31,5.002220859751105e-12
3,6,Sn_keV,14224.615000000002,14224.61,0.005000000001018634
3,6,Sp_keV,1299.5670000000027,1299.57,0.0029999999972005753
3,6,S2p_keV,1435.971000000005,1435.97,0.001000000004978574
8,2,Sn_keV,-189.99299999999857,-190.0,0.007000000001426088
8,2,S2n_keV,-1444.8199999999997,-1444.83,0.010000000000218279
7,3,Sn_keV,-26.402000000001863,-26.4,0.0020000000018640662
7,3,Sp_keV,15172.176999999996,15172.17,0.0069999999959691195
7,3,S2n_keV,4035.813999999991,4035.81,0.003999999991265213
7,3,Qalpha_keV,-11248.015999999996,-11248.01,0.005999999995765393
6,4,Sn_keV,6812.288000000008,6812.28,0.008000000007996277
6,4,Sp_keV,19636.388000000006,19636.39,0.001999999993131496
6,4,S2n_keV,8476.82,8476.82,0.0
6,4,S2p_keV,33580.14,33580.13,0.010000000002037268
6,4,Qalpha_keV,-7409.525999999998,-7409.52,0.005999999997584382
5,5,Sn_keV,8437.199999999997,8437.2,3.637978807091713e-12
5,5,Sp_keV,6586.817999999999,6586.81,0.00799999999890133
5,5,S2n_keV,27013.589999999997,27013.59,3.637978807091713e-12
5,5,S2p_keV,23473.13399999999,23473.14,0.0060000000084983185
5,5,Qalpha_keV,-4461.183999999994,-4461.19,0.006000000005769834
4,6,Sn_keV,21283.613000000005,21283.62,0.00699999999415013
4,6,Sp_keV,4006.790000000008,4006.79,8.185452315956354e-12
4,6,S2n_keV,35508.228,35508.23,0.0020000000004074536
4,6,S2p_keV,3820.9400000000023,3820.94,2.2737367544323206e-12
4,6,Qalpha_keV,-5101.277999999998,-5101.28,0.0020000000013169483
3,7,Sp_keV,-2600.0869999999995,-2600.08,0.006999999999607098
3,7,S2p_keV,-1300.5199999999968,-1300.52,3.183231456205249e-12
8,3,Sn_keV,395.6810000000114,395.69,0.008999999988589025
8,3,Sp_keV,15757.851000000006,15757.86,0.008999999994557584
8,3,S2n_keV,369.27900000000955,369.28,0.0009999999904266588
7,4,Sn_keV,501.6399999999994,501.64,5.684341886080801e-13
7,4,Sp_keV,20164.430000000008,20164.43,7.275957614183426e-12
7,4,S2n_keV,7313.928000000007,7313.92,0.008000000007086783
7,4,S2p_keV,35336.607,35336.6,0.0070000000050640665
7,4,Qalpha_keV,-8320.881000000008,-8320.87,0.011000000007697963
6,5,Sn_keV,11454.222000000002,11454.22,0.002000000002226443
6,5,Sp_keV,11228.751999999993,11228.75,0.001999999993131496
6,5,S2n_keV,19891.422,19891.42,0.0020000000004074536
6,5,S2p_keV,30865.14,30865.14,0.0
6,5,Qalpha_keV,-8664.318999999989,-8664.31,0.008999999989100615
5,6,Sn_keV,13120.595999999998,13120.59,0.005999999997584382
5,6,Sp_keV,8690.186000000009,8690.18,0.0060000000084983185
5,6,S2n_keV,34404.209,34404.21,0.000999999996565748
5,6,S2p_keV,15277.004000000008,15277.0,0.004000000008090865
5,6,Qalpha_keV,-7544.520000000004,-7544.52,3.637978807091713e-12
4,7,Sn_keV,22567.786,22567.78,0.006000000001222361
4,7,Sp_keV,-1315.9140000000043,-1315.92,0.005999999995765393
4,7,S2p_keV,2690.876000000004,2690.87,0.006000000003950845
4,7,Qalpha_keV,-5797.911,-5797.91,0.0010000000002037268
9,3,Sn_keV,-209.99100000000908,-210.0,0.008999999990919605
9,3,S2n_keV,185.69000000000233,185.69,2.3305801732931286e-12
8,4,Sn_keV,3170.7239999999874,3170.72,0.003999999987627234
8,4,Sp_keV,22939.472999999984,22939.47,0.0029999999824212864
8,4,S2n_keV,3672.363999999987,3672.36,0.003999999986717739
8,4,S2p_keV,38697.32399999999,38697.32,0.00399999999353895
8,4,Qalpha_keV,-8956.84399999999,-8956.84,0.003999999989900971
7,5,Sn_keV,3369.6240000000107,3369.63,0.00599999998939893
7,5,Sp_keV,14096.736000000004,14096.74,0.003999999995357939
7,5,S2n_keV,14823.846000000012,14823.85,0.003999999988081981
7,5,S2p_keV,34261.16600000001,34261.17,0.003999999986262992
7,5,Qalpha_keV,-10001.320000000007,-10001.32,7.275957614183426e-12
6,6,Sn_keV,18720.712,18720.71,0.0020000000004074536
6,6,Sp_keV,15956.676000000007,15956.68,0.00399999999353895
6,6,S2n_keV,31841.307999999997,31841.31,0.0020000000040454324
6,6,S2p_keV,27185.428,27185.43,0.0020000000004074536
6,6,Qalpha_keV,-7366.588000000003,-7366.59,0.001999999996769475
5,7,Sn_keV,15036.802000000003,15036.81,0.007999999996172846
5,7,Sp_keV,600.2920000000013,600.3,0.007999999998673957
5,7,S2n_keV,37604.588,37604.59,0.001999999993131496
5,7,S2p_keV,9290.47800000001,9290.48,0.001999999989493517
5,7,Qalpha_keV,-8008.40800000001,-8008.41,0.001999999989493517
4,8,Sp_keV,-322.08200000000215,-322.08,0.0020000000021695996
4,8,S2p_keV,-1637.9960000000065,-1638.0,0.00399999999353895
4,8,Qalpha_keV,-5574.572,-5574.57,0.0020000000004074536
10,3,Sn_keV,99.99000000000524,100.0,0.00999999999476131
10,3,S2n_keV,-110.00100000000384,-110.0,0.0010000000038417056
9,4,Sn_keV,-510.0089999999909,-510.0,0.008999999990919605
9,4,Sp_keV,22639.455,22639.47,0.014999999999417923
9,4,S2n_keV,2660.7149999999965,2660.72,0.005000000003292371
9,4,Qalpha_keV,-9701.661999999997,-9701.66,0.001999999996769475
8,5,Sn_keV,4878.770999999993,4878.77,0.0009999999929277692
8,5,Sp_keV,15804.78300000001,15804.78,0.0030000000097061275
8,5,S2n_keV,8248.395000000004,8248.39,0.005000000004656613
8,5,S2p_keV,38744.255999999994,38744.25,0.005999999993946403
8,5,Qalpha_keV,-10817.875,-10817.87,0.004999999999199645
7,6,Sn_keV,4946.308999999994,4946.31,0.0010000000065701897
