N,Z,observable,derived_keV,official_keV,abs_diff_keV
1,1,Sn_keV,2224.566,2224.57,0.00400000000036016
1,1,Sp_keV,2224.566,2224.57,0.00400000000036016
2,1,Sn_keV,6257.232000000001,6257.23,0.0020000000013169483
2,1,S2n_keV,8481.798,8481.8,0.0019999999985884642
1,2,Sp_keV,5493.477,5493.48,0.0029999999997016857
1,2,S2p_keV,7718.043,7718.04,0.0029999999997016857
3,1,Sn_keV,-1599.9980000000005,-1600.0,0.001999999999497959
3,1,S2n_keV,4657.234,4657.23,0.004000000000814907
2,2,Sn_keV,20577.617,20577.62,0.0030000000006111804
2,2,Sp_keV,19813.862,19813.86,0.0020000000004074536
1,3,Sp_keV,-3102.999,-3103.0,0.0010000000002037268
1,3,S2p_keV,2390.478,2390.48,0.0019999999999527063
4,1,Sn_keV,-200.0000000000009,-200.0,9.094947017729282e-13
4,1,S2n_keV,-1799.9980000000014,-1800.0,0.0019999999985884642
3,2,Sn_keV,-735.0000000000036,-735.0,3.637978807091713e-12
3,2,Sp_keV,20678.859999999997,20678.86,3.637978807091713e-12
3,2,S2n_keV,19842.617,19842.62,0.0030000000006111804
3,2,Qalpha_keV,735.0000000000036,735.0,3.637978807091713e-12
2,3,Sn_keV,21715.615999999995,21715.62,0.004000000004452886
2,3,Sp_keV,-1965.0000000000036,-1965.0,3.637978807091713e-12
2,3,S2p_keV,17848.861999999994,17848.86,0.001999999993131496
2,3,Qalpha_keV,1965.0000000000036,1965.0,3.637978807091713e-12
5,1,Sn_keV,-911.9599999999991,-911.96,9.094947017729282e-13
5,1,S2n_keV,-1111.96,-1111.96,0.0
4,2,Sn_keV,1710.4540000000052,1710.45,0.004000000005135007
4,2,Sp_keV,22589.314000000002,22589.32,0.005999999997584382
4,2,S2n_keV,975.4540000000015,975.45,0.004000000001497028
3,3,Sn_keV,5663.326000000005,5663.32,0.00600000000486034
3,3,Sp_keV,4433.326000000005,4433.32,0.00600000000486034
3,3,S2n_keV,27378.942000000003,27378.94,0.0020000000040454324
3,3,S2p_keV,25112.186,25112.19,0.0039999999971769284
3,3,Qalpha_keV,-1473.760000000002,-1473.76,2.0463630789890885e-12
2,4,Sp_keV,592.8220000000074,592.82,0.0020000000073423507
2,4,S2p_keV,-1372.1779999999962,-1372.18,0.0020000000038180588
5,2,Sn_keV,-409.7150000000038,-409.71,0.005000000003803962
5,2,Sp_keV,23091.558999999997,23091.56,0.0010000000038417056
5,2,S2n_keV,1300.7390000000014,1300.74,0.000999999998612111
4,3,Sn_keV,7251.087000000003,7251.09,0.0029999999969732016
4,3,Sp_keV,9973.959000000003,9973.96,0.000999999996565748
4,3,S2n_keV,12914.413000000008,12914.42,0.006999999992331141
4,3,S2p_keV,32563.273000000005,32563.28,0.00699999999415013
4,3,Qalpha_keV,-2467.6150000000052,-2467.62,0.004999999994652171
3,4,Sn_keV,10677.353999999992,10677.35,0.00399999999171996
3,4,Sp_keV,5606.849999999995,5606.85,5.4569682106375694e-12
3,4,S2p_keV,10040.176,10040.18,0.004000000000814907
3,4,Qalpha_keV,-1587.1329999999944,-1587.13,0.0029999999942447175
2,5,Sp_keV,-2012.547000000006,-2012.55,0.002999999994017344
2,5,S2p_keV,-1419.7249999999985,-1419.72,0.004999999998517524
6,2,Sn_keV,2534.7610000000022,2534.76,0.0010000000020227162
6,2,S2n_keV,2125.0459999999985,2125.05,0.004000000001724402
5,3,Sn_keV,2032.6229999999996,2032.62,0.0029999999997016857
5,3,Sp_keV,12416.297000000006,12416.29,0.0070000000050640665
5,3,S2n_keV,9283.710000000003,9283.71,3.637978807091713e-12
5,3,S2p_keV,35507.856,35507.85,0.006000000001222361
5,3,Qalpha_keV,-6100.236000000004,-6100.24,0.003999999995357939
4,4,Sn_keV,18898.644000000008,18898.64,0.004000000008090865
4,4,Sp_keV,17254.407,17254.4,0.006999999997788109
4,4,S2n_keV,29575.998,29576.0,0.0020000000004074536
4,4,S2p_keV,27228.366,27228.36,0.006000000001222361
4,4,Qalpha_keV,91.83999999999651,91.84,3.495870259939693e-12
3,5,Sn_keV,12826.289000000004,12826.29,0.000999999996565748
3,5,Sp_keV,136.3880000000063,136.39,0.00199999999369993
3,5,S2p_keV,5743.238000000001,5743.24,0.0019999999985884642
3,5,Qalpha_keV,-4826.520000000004,-4826.52,3.637978807091713e-12
2,6,Sp_keV,-98.74299999999857,-98.75,0.007000000001426088
2,6,S2p_keV,-2111.2900000000045,-2111.29,4.547473508864641e-12
7,2,Sn_keV,-1254.8990000000013,-1254.9,0.0009999999988394848
7,2,S2n_keV,1279.862000000001,1279.86,0.0020000000010895747
6,3,Sn_keV,4062.215999999993,4062.22,0.004000000006726623
6,3,Sp_keV,13943.751999999997,13943.75,0.001999999996769475
6,3,S2n_keV,6094.838999999993,6094.84,0.0010000000074796844
6,3,Qalpha_keV,-10362.451999999997,-10362.45,0.001999999996769475
5,4,Sn_keV,1664.531999999992,1664.54,0.008000000007996277
5,4,Sp_keV,16886.31599999999,16886.32,0.004000000008090865
5,4,S2n_keV,20563.176,20563.18,0.004000000000814907
5,4,S2p_keV,29302.612999999998,29302.61,0.0029999999969732016
5,4,Qalpha_keV,-2307.6920000000027,-2307.7,0.007999999997082341
4,5,Sn_keV,18576.405999999995,18576.41,0.004000000004452886
4,5,Sp_keV,-185.85000000000582,-185.85,5.8264504332328215e-12
4,5,S2n_keV,31402.695,31402.7,0.005000000001018634
4,5,S2p_keV,17068.556999999993,17068.56,0.003000000007887138
4,5,Qalpha_keV,-1687.310000000005,-1687.31,5.002220859751105e-12
3,6,Sn_keV,14224.615000000002,14224.62,0.004999999999199645
3,6,Sp_keV,1299.5829999999987,1299.58,0.002999999998792191
3,6,S2p_keV,1435.971000000005,1435.97,0.001000000004978574
8,2,Sn_keV,-165.10099999999875,-165.1,0.0009999999987542196
8,2,S2n_keV,-1420.0,-1420.0,0.0
7,3,Sn_keV,-26.402000000001863,-26.4,0.0020000000018640662
7,3,Sp_keV,15172.248999999996,15172.24,0.008999999996376573
7,3,S2n_keV,4035.813999999991,4035.81,0.003999999991265213
7,3,Qalpha_keV,-11248.009999999995,-11248.01,5.4569682106375694e-12
6,4,Sn_keV,6812.288000000008,6812.28,0.008000000007996277
6,4,Sp_keV,19636.388000000006,19636.39,0.001999999993131496
6,4,S2n_keV,8476.82,8476.82,0.0
6,4,S2p_keV,33580.14,33580.13,0.010000000002037268
6,4,Qalpha_keV,-7409.525999999998,-7409.52,0.005999999997584382
5,5,Sn_keV,8437.120000000003,8437.11,0.010000000002037268
5,5,Sp_keV,6586.738000000005,6586.73,0.008000000005267793
5,5,S2n_keV,27013.525999999998,27013.52,0.005999999997584382
5,5,S2p_keV,23473.053999999996,23473.05,0.0039999999971769284
5,5,Qalpha_keV,-4461.103999999999,-4461.1,0.003999999998995918
4,6,Sn_keV,21283.532999999996,21283.53,0.0029999999969732016
4,6,Sp_keV,4006.709999999999,4006.7,0.009999999999308784
4,6,S2n_keV,35508.148,35508.15,0.0020000000004074536
4,6,S2p_keV,3820.8599999999933,3820.86,6.821210263296962e-12
4,6,Qalpha_keV,-5101.197999999989,-5101.19,0.007999999989806383
3,7,Sp_keV,-2600.1670000000013,-2600.17,0.002999999998792191
3,7,S2p_keV,-1300.5840000000026,-1300.59,0.005999999997357008
8,3,Sn_keV,395.6810000000114,395.69,0.008999999988589025
8,3,Sp_keV,15733.031000000006,15733.03,0.001000000005660695
8,3,S2n_keV,369.27900000000955,369.28,0.0009999999904266588
7,4,Sn_keV,501.6399999999994,501.64,5.684341886080801e-13
7,4,Sp_keV,20164.430000000008,20164.43,7.275957614183426e-12
7,4,S2n_keV,7313.928000000007,7313.92,0.008000000007086783
7,4,S2p_keV,35336.679000000004,35336.67,0.00900000000547152
7,4,Qalpha_keV,-8320.881000000008,-8320.87,0.011000000007697963
6,5,Sn_keV,11454.126000000004,11454.12,0.00600000000304135
6,5,Sp_keV,11228.576000000001,11228.58,0.003999999998995918
6,5,S2n_keV,19891.246000000006,19891.24,0.00600000000486034
6,5,S2p_keV,30864.964000000007,30864.96,0.004000000008090865
6,5,Qalpha_keV,-8664.142999999996,-8664.14,0.0029999999969732016
5,6,Sn_keV,13119.774000000005,13119.78,0.005999999995765393
5,6,Sp_keV,8689.364000000001,8689.37,0.0059999999994033715
5,6,S2n_keV,34403.307,34403.31,0.0029999999969732016
5,6,S2p_keV,15276.102000000006,15276.1,0.002000000005864422
5,6,Qalpha_keV,-7543.618000000002,-7543.62,0.0019999999976789695
4,7,Sn_keV,22567.778,22567.78,0.0020000000004074536
4,7,Sp_keV,-1315.9219999999987,-1315.92,0.0019999999985884642
4,7,S2p_keV,2690.7880000000005,2690.79,0.001999999999497959
4,7,Qalpha_keV,-5797.822999999997,-5797.82,0.0029999999969732016
9,3,Sn_keV,-119.99100000000908,-120.0,0.008999999990919605
9,3,S2n_keV,275.6900000000023,275.69,2.3305801732931286e-12
8,4,Sn_keV,3170.7239999999874,3170.73,0.006000000012591045
8,4,Sp_keV,22939.472999999984,22939.47,0.0029999999824212864
8,4,S2n_keV,3672.363999999987,3672.36,0.003999999986717739
8,4,S2p_keV,38672.503999999986,38672.5,0.003999999986262992
8,4,Qalpha_keV,-8956.84399999999,-8956.84,0.003999999989900971
7,5,Sn_keV,3369.775999999998,3369.78,0.004000000002179149
7,5,Sp_keV,14096.712,14096.72,0.007999999999810825
7,5,S2n_keV,14823.902000000002,14823.91,0.007999999997991836
7,5,S2p_keV,34261.14200000001,34261.15,0.007999999994353857
7,5,Qalpha_keV,-10001.296000000002,-10001.3,0.0039999999971769284
6,6,Sn_keV,18721.614,18721.61,0.004000000000814907
6,6,Sp_keV,15956.851999999999,15956.85,0.0019999999985884642
6,6,S2n_keV,31841.388000000006,31841.39,0.001999999993131496
6,6,S2p_keV,27185.428,27185.43,0.0020000000004074536
6,6,Qalpha_keV,-7366.588000000003,-7366.59,0.001999999996769475
5,7,Sn_keV,15036.890000000007,15036.89,7.275957614183426e-12
5,7,Sp_keV,601.1940000000031,601.19,0.004000000003088644
5,7,S2n_keV,37604.668000000005,37604.67,0.001999999993131496
5,7,S2p_keV,9290.558000000005,9290.56,0.0019999999949504854
5,7,Qalpha_keV,-8008.423999999999,-8008.42,0.003999999998995918
4,8,Sp_keV,-322.07800000000134,-322.08,0.0019999999986453076
4,8,S2p_keV,-1638.0,-1638.0,0.0
4,8,Qalpha_keV,-5574.487999999998,-5574.49,0.002000000002226443
10,3,Sn_keV,-1350.0049999999974,-1350.0,0.004999999997380655
10,3,S2n_keV,-1469.9960000000065,-1470.0,0.00399999999353895
9,4,Sn_keV,-510.0089999999909,-510.0,0.008999999990919605
9,4,Sp_keV,22549.455,22549.47,0.014999999999417923
9,4,S2n_keV,2660.7149999999965,2660.73,0.01500000000351065
9,4,Qalpha_keV,-9701.733999999997,-9701.74,0.00600000000304135
8,5,Sn_keV,4878.626000000004,4878.61,0.016000000004169124
8,5,Sp_keV,15804.614000000016,15804.61,0.0040000000153668225
8,5,S2n_keV,8248.402000000002,8248.4,0.002000000002226443
8,5,S2p_keV,38744.087,38744.08,0.006999999997788109
8,5,Qalpha_keV,-10817.706000000006,-10817.7,0.00600000000486034
7,6,Sn_keV,4946.308999999994,4946.31,0.0010000000065701897
