N,Z,observable,derived_keV,official_keV,abs_diff_keV
8,11,S2p_keV,3600.2588000000105,3600.2589,9.99999892883352e-05
8,11,Qalpha_keV,-6062.2837000000145,-6062.2835,0.00020000001495645847
7,12,Sp_keV,488.5679999999993,488.5689,0.0009000000006835762
7,12,S2p_keV,-759.9998999999953,-759.9999,4.774847184307873e-12
7,12,Qalpha_keV,-10801.8949,-10801.8956,0.0007000000005064066
15,5,Sn_keV,-1559.9994000000006,-1560.0,0.0005999999993946403
15,5,S2n_keV,-1466.2928000000102,-1466.2927,0.00010000001020671334
14,6,Sn_keV,2981.505999999994,2981.5058,0.00019999999403808033
14,6,Sp_keV,29555.654599999994,29555.6549,0.0003000000069732778
14,6,S2n_keV,3558.3341999999975,3558.3351,0.000900000002275192
14,6,Qalpha_keV,-22368.487999999998,-22368.4878,0.00019999999858555384
13,7,Sn_keV,2161.075200000021,2161.0753,9.999997882914613e-05
13,7,Sp_keV,17936.228000000003,17936.2277,0.00030000000333529897
13,7,S2n_keV,7489.3053999999975,7489.3057,0.00030000000242580427
13,7,S2p_keV,44604.083199999994,44604.0841,0.0009000000063679181
13,7,Qalpha_keV,-17770.115600000005,-17770.1168,0.0011999999951513018
12,8,Sn_keV,7608.005199999985,7608.0042,0.0009999999847423169
12,8,Sp_keV,19349.055200000003,19349.0544,0.000800000001618173
12,8,S2n_keV,11563.648199999996,11563.6481,9.999999565479811e-05
12,8,S2p_keV,35701.03619999999,35701.0361,9.99999901978299e-05
12,8,Qalpha_keV,-12322.877999999968,-12322.8773,0.0006999999677645974
11,9,Sn_keV,6601.337200000038,6601.3362,0.0010000000384025043
11,9,Sp_keV,10639.293200000015,10639.2921,0.001100000014048419
11,9,S2n_keV,17033.212600000028,17033.2118,0.0008000000270840246
11,9,S2p_keV,27708.57340000001,27708.5728,0.0006000000066705979
11,9,Qalpha_keV,-8126.286000000022,-8126.2863,0.0002999999778694473
10,10,Sn_keV,16865.305100000027,16865.3038,0.0013000000253668986
