vintage,kind,N,Z,A,element,S2n_keV,S2n_unc_keV,S2n_estimated,S2p_keV,S2p_unc_keV,S2p_estimated,Qalpha_keV,Qalpha_unc_keV,Qalpha_estimated,Q2beta_keV,Q2beta_unc_keV,Q2beta_estimated,Qep_keV,Qep_unc_keV,Qep_estimated,Qbeta_n_keV,Qbeta_n_unc_keV,Qbeta_n_estimated,raw_line
2020,rct1,1,0,1,n,,,False,,,False,,,False,,,False,,,False,,,False,0  1  n   0       *                     *                     *                     *                     *                     *               
2020,rct1,0,1,1,H,,,False,,,False,,,False,,,False,,,False,,,False,   1 H    1       *                     *                     *                     *                     *                     *               
2020,rct1,1,1,2,H,,,False,,,False,,,False,,,False,,,False,,,False,0  2 H    1       *                     *                     *                     *                     *                     *               
2020,rct1,2,1,3,H,8481.7963,0.0009,False,,,False,,,False,-13717.0,2000.0,True,,,False,,,False,0  3 H    1    8481.7963    0.0009      *                     *                -13717#     2000#          *                     *               
2020,rct1,1,2,3,He,,,False,7718.0413,0.0004,False,,,False,,,False,,,False,,,False,   3 He   2       *                  7718.0413    0.0004      *                     *                     *                     *               
2020,rct1,0,3,3,Li,,,False,-6800.0,2000.0,True,,,False,,,False,8242.0,2000.0,True,,,False,   3 Li   3       *                 -6800#     2000#          *                     *                  8242#     2000#          *               
2020,rct1,3,1,4,H,4657.23,100.0,False,,,False,,,False,-702.0609,234.5208,False,,,False,1618.5921,100.0,False,0  4 H    1    4657.2300  100.0000      *                     *                  -702.0609  234.5208      *                  1618.5921  100.0000
2020,rct1,2,2,4,He,,,False,,,False,0.0,0.0,False,,,False,,,False,-34313.0,2000.0,True,   4 He   2       *                     *                     0.0       0.0         *                     *                -34313#     2000#    
2020,rct1,1,3,4,Li,,,False,2390.4751,212.132,False,,,False,,,False,3084.4079,212.132,False,,,False,   4 Li   3       *                  2390.4751  212.1320      *                     *                  3084.4079  212.1320      *               
2020,rct1,4,1,5,H,-1800.0001,89.4427,False,,,False,,,False,21213.5602,102.4695,False,,,False,22396.2132,89.4427,False,0  5 H    1   -1800.0001   89.4427      *                     *                 21213.5602  102.4695      *                 22396.2132   89.4427
2020,rct1,3,2,5,He,19842.621,20.0,False,,,False,735.0,20.0,False,-25907.0,2003.0,True,,,False,-22163.274,213.0728,False,   5 He   2   19842.6210   20.0000      *                   735.0000   20.0000 -25907#     2003#          *                -22163.2740  213.0728
2020,rct1,2,3,5,Li,33131.0,2001.0,True,17848.8662,50.0,False,1964.9999,50.0,False,,,False,-20231.2132,111.8034,False,,,False,   5 Li   3   33131#     2001#      17848.8662   50.0000   1964.9999   50.0000      *                -20231.2132  111.8034      *               
2020,rct1,1,4,5,Be,,,False,-7630.0,2003.0,True,,,False,,,False,27425.0,2003.0,True,,,False,   5 Be   4       *                 -7630#     2003#          *                     *                 27425#     2003#          *               
2020,rct1,5,1,6,H,-1111.9594,273.0942,False,,,False,,,False,27788.8441,254.1268,False,,,False,22573.1725,254.9126,False,0  6 H    1   -1111.9594  273.0942      *                     *                 27788.8441  254.1268      *                 22573.1725  254.9126
2020,rct1,4,2,6,He,975.4569,0.0532,False,,,False,,,False,-782.9387,5.448,False,,,False,-2158.1098,50.0,False,   6 He   2     975.4569    0.0532      *                     *                  -782.9387    5.4480      *                 -2158.1098   50.0000
2020,rct1,3,3,6,Li,27378.9456,212.132,False,25112.1907,100.0,False,-1473.7583,0.0015,False,-33233.0,2003.0,True,-26094.5377,89.4427,False,-31123.0,2003.0,True,   6 Li   3   27378.9456  212.1320  25112.1907  100.0000  -1473.7583    0.0015 -33233#     2003#     -26094.5377   89.4427 -31123#     2003#    
2020,rct1,2,4,6,Be,,,False,-1372.1758,5.4478,False,,,False,,,False,-145.1712,20.7287,False,,,False,   6 Be   4       *                 -1372.1758    5.4478      *                     *                  -145.1712   20.7287      *               
2020,rct1,1,5,6,B,,,False,-7419.0,2014.0,True,,,False,,,False,28352.0,2003.0,True,,,False,   6 B    5       *                 -7419#     2014#          *                     *                 28352#     2003#          *               
2020,rct1,6,1,7,H,-100.0,1000.0,True,,,False,,,False,34228.0,1004.0,True,,,False,23472.0,1004.0,True,0  7 H    1    -100#     1000#          *                     *                 34228#     1004#          *                 23472#     1004#    
2020,rct1,5,2,7,He,1300.7426,21.381,False,,,False,,,False,10304.1299,7.5598,False,,,False,3914.929,7.5595,False,   7 He   2    1300.7426   21.3810      *                     *                 10304.1299    7.5598      *                  3914.9290    7.5595
2020,rct1,4,3,7,Li,12914.4184,50.0,False,32563.2846,89.4427,False,-2467.6221,0.0042,False,-12769.4481,25.1503,False,-34257.591,254.1268,False,-11539.2472,5.4478,False,   7 Li   3   12914.4184   50.0000  32563.2846   89.4427  -2467.6221    0.0042 -12769.4481   25.1503 -34257.5910  254.1268 -11539.2472    5.4478
2020,rct1,3,4,7,Be,37512.0,2003.0,True,10040.1785,20.0001,False,-1587.1371,0.0708,False,,,False,-9112.0686,0.0884,False,-39622.0,2003.0,True,   7 Be   4   37512#     2003#      10040.1785   20.0001  -1587.1371    0.0708      *                 -9112.0686    0.0884 -39622#     2003#    
2020,rct1,2,5,7,B,,,False,-1419.7238,55.9691,False,-3415.0,2000.0,True,,,False,6300.7013,25.1503,False,,,False,   7 B    5       *                 -1419.7238   55.9691  -3415#     2000#          *                  6300.7013   25.1503      *               
2020,rct1,6,2,8,He,2125.0484,0.1034,False,,,False,,,False,26668.0112,0.0955,False,,,False,8631.2602,0.0887,False,0  8 He   2    2125.0484    0.1034      *                     *                 26668.0112    0.0955      *                  8631.2602    0.0887
2020,rct1,5,3,8,Li,9283.712,0.0474,False,35507.8621,254.1268,False,-6100.2403,100.0,False,-1975.7645,1.001,False,-35478.0,1004.0,True,-2894.5112,0.085,False,   8 Li   3    9283.7120    0.0474  35507.8621  254.1268  -6100.2403  100.0000  -1975.7645    1.0010 -35478#     1004#      -2894.5112    0.0850
2020,rct1,4,4,8,Be,29575.9983,5.4479,False,27228.3656,0.0639,False,91.8399,0.0354,False,-30122.5975,18.243,False,-28420.4269,7.5596,False,-30806.1992,25.1504,False,   8 Be   4   29575.9983    5.4479  27228.3656    0.0639     91.8399    0.0354 -30122.5975   18.2430 -28420.4269    7.5596 -30806.1992   25.1504
2020,rct1,3,5,8,B,40541.0,2003.0,True,5743.2536,0.9999,False,-4826.5368,212.1344,False,,,False,725.4933,0.9999,False,,,False,   8 B    5   40541#     2003#       5743.2536    0.9999  -4826.5368  212.1344      *                   725.4933    0.9999      *               
2020,rct1,2,6,8,C,,,False,-2111.2932,19.039,False,,,False,,,False,12006.3005,18.2431,False,,,False,   8 C    6       *                 -2111.2932   19.0390      *                     *                 12006.3005   18.2431      *               
2020,rct1,7,2,9,He,1279.9373,47.4229,False,,,False,,,False,29587.3755,46.8165,False,,,False,11918.7038,46.8165,False,0  9 He   2    1279.9373   47.4229      *                     *                 29587.3755   46.8165      *                 11918.7038   46.8165
2020,rct1,6,3,9,Li,6094.8357,0.1864,False,38758.0,1004.0,True,-10362.4579,89.4429,False,12538.4192,0.9217,False,,,False,11941.9153,0.1896,False,   9 Li   3    6094.8357    0.1864  38758#     1004#     -10362.4579   89.4429  12538.4192    0.9217      *                 11941.9153    0.1896
2020,rct1,5,4,9,Be,20563.1828,0.104,False,29302.6187,7.5599,False,-2307.6989,20.0001,False,-17562.5203,2.138,False,-27550.203,0.117,False,-19644.4361,1.0028,False,   9 Be   4   20563.1828    0.1040  29302.6187    7.5599  -2307.6989   20.0001 -17562.5203    2.1380 -27550.2030    0.1170 -19644.4361    1.0028
2020,rct1,4,5,9,B,31402.7031,25.1665,False,17068.5609,0.9026,False,-1687.3169,50.0081,False,,,False,-15818.2898,0.9038,False,-30719.1014,18.2653,False,   9 B    5   31402.7031   25.1665  17068.5609    0.9026  -1687.3169   50.0081      *                -15818.2898    0.9038 -30719.1014   18.2653
2020,rct1,3,6,9,C,,,False,1435.9685,2.1355,False,-10653.0,2003.0,True,,,False,16680.3285,2.1369,False,,,False,   9 C    6       *                  1435.9685    2.1355 -10653#     2003#          *                 16680.3285    2.1369      *               
