vintage,N,Z,A,element,origin,mass_excess_keV,mass_excess_unc_keV,be_per_A_keV,be_per_A_unc_keV,beta_mode,beta_keV,beta_unc_keV,atomic_mass_u,atomic_mass_unc_micro_u,mass_estimated,be_estimated,beta_estimated,atomic_mass_estimated,mass_excess_raw,be_per_A_raw,raw_line,B_total_MeV,B_total_unc_MeV,I,even_N,even_Z
2012,3,6,9,C,-pp,28910.97,2.137,4337.423,0.237,B-,,,9.031037204,2.293,False,False,False,False,28910.970,4337.423,  -3    3    6    9 C   -pp   28910.970      2.137     4337.423    0.237 B-      *                9 031037.204      2.293  ,39.036807,0.002133,-0.3333333333333333,0,1
2012,8,2,10,He,-nn,49172.316,100.0,2997.616,10.0,B-,16119.692,100.806,10.052788655,107.354,False,False,False,False,49172.316,2997.616,0  6    8    2   10 He  -nn   49172.316    100.000     2997.616   10.000 B-  16119.692  100.806  10 052788.655    107.354  ,29.97616,0.1,0.6,1,1
2012,7,3,10,Li,-n,33052.624,12.721,4531.351,1.272,B-,20445.136,12.722,10.035483453,13.656,False,False,False,False,33052.624,4531.351,   4    7    3   10 Li   -n   33052.624     12.721     4531.351    1.272 B-  20445.136   12.722  10 035483.453     13.656  ,45.313509999999994,0.01272,0.4,0,0
2012,6,4,10,Be,,12607.488,0.081,6497.63,0.008,B-,556.797,0.392,10.013534695,0.086,False,False,False,False,12607.488,6497.630,   2    6    4   10 Be        12607.488      0.081     6497.630    0.008 B-    556.797    0.392  10 013534.695      0.086  ,64.97630000000001,8e-05,0.2,1,1
2012,5,5,10,B,,12050.69,0.384,6475.075,0.038,B-,-3648.064,0.069,10.012936949,0.412,False,False,False,False,12050.690,6475.075,   0    5    5   10 B         12050.690      0.384     6475.075    0.038 B-  -3648.064    0.069  10 012936.949      0.412  ,64.75075,0.00038,0.0,0,0
2012,4,6,10,C,,15698.755,0.39,6032.034,0.039,B-,-23101.353,400.0,10.016853307,0.418,False,False,False,False,15698.755,6032.034,  -2    4    6   10 C         15698.755      0.390     6032.034    0.039 B- -23101.353  400.000  10 016853.307      0.418  ,60.320339999999995,0.00039,-0.2,1,1
2012,3,7,10,N,--,38800.107,400.0,3643.664,40.0,B-,,,10.04165363,429.417,False,False,False,False,38800.107,3643.664,  -4    3    7   10 N    --   38800.107    400.000     3643.664   40.000 B-      *               10 041653.630    429.417  ,36.43664,0.4,-0.4,0,0
2012,8,3,11,Li,x,40728.254,0.615,4155.381,0.056,B-,20551.087,0.659,11.043723581,0.66,False,False,False,False,40728.254,4155.381,0  5    8    3   11 Li    x   40728.254      0.615     4155.381    0.056 B-  20551.087    0.659  11 043723.581      0.660  ,45.709191000000004,0.000616,0.45454545454545453,1,0
2012,7,4,11,Be,,20177.167,0.238,5952.54,0.022,B-,11509.284,0.479,11.021661081,0.255,False,False,False,False,20177.167,5952.540,   3    7    4   11 Be        20177.167      0.238     5952.540    0.022 B-  11509.284    0.479  11 021661.081      0.255  ,65.47794,0.000242,0.2727272727272727,0,1
2012,6,5,11,B,,8667.883,0.416,6927.716,0.038,B-,-1982.412,0.854,11.009305355,0.446,False,False,False,False,8667.883,6927.716,   1    6    5   11 B          8667.883      0.416     6927.716    0.038 B-  -1982.412    0.854  11 009305.355      0.446  ,76.204876,0.00041799999999999997,0.09090909090909091,1,0
2012,5,6,11,C,,10650.295,0.95,6676.374,0.086,B-,-13653.347,46.162,11.011433563,1.019,False,False,False,False,10650.295,6676.374,  -1    5    6   11 C         10650.295      0.950     6676.374    0.086 B- -13653.347   46.162  11 011433.563      1.019  ,73.44011400000001,0.0009459999999999999,-0.09090909090909091,0,1
2012,4,7,11,N,-p,24303.642,46.155,5364.038,4.196,B-,,,11.026091034,49.549,False,False,False,False,24303.642,5364.038,  -3    4    7   11 N    -p   24303.642     46.155     5364.038    4.196 B-      *               11 026091.034     49.549  ,59.004418,0.046155999999999996,-0.2727272727272727,1,0
2012,9,3,12,Li,-n,48919.571,15.013,3799.1,1.251,B-,23841.813,15.133,12.052517322,16.116,False,False,False,False,48919.571,3799.100,0  6    9    3   12 Li   -n   48919.571     15.013     3799.100    1.251 B-  23841.813   15.133  12 052517.322     16.116  ,45.5892,0.015012,0.5,0,0
