vintage,kind,N,Z,A,element,S2n_keV,S2n_unc_keV,S2n_estimated,S2p_keV,S2p_unc_keV,S2p_estimated,Qalpha_keV,Qalpha_unc_keV,Qalpha_estimated,Q2beta_keV,Q2beta_unc_keV,Q2beta_estimated,Qep_keV,Qep_unc_keV,Qep_estimated,Qbeta_n_keV,Qbeta_n_unc_keV,Qbeta_n_estimated,raw_line
2016,rct1,1,0,1,n,,,False,,,False,,,False,,,False,,,False,,,False,0  1  n   0       *                 *                 *                 *                 *                 *           
2016,rct1,0,1,1,H,,,False,,,False,,,False,,,False,,,False,,,False,   1 H    1       *                 *                 *                 *                 *                 *           
2016,rct1,1,1,2,H,,,False,,,False,,,False,,,False,,,False,,,False,0  2 H    1       *                 *                 *                 *                 *                 *           
2016,rct1,2,1,3,H,8481.79,0.0,False,,,False,,,False,-13717.0,2000.0,True,,,False,,,False,0  3 H    1    8481.79    0.00      *                 *            -13717#   2000#        *                 *           
2016,rct1,1,2,3,He,,,False,7718.04,0.0,False,,,False,,,False,,,False,,,False,   3 He   2       *              7718.04    0.00      *                 *                 *                 *           
2016,rct1,0,3,3,Li,,,False,-6800.0,2000.0,True,,,False,,,False,8242.0,2000.0,True,,,False,   3 Li   3       *             -6800#   2000#        *                 *              8242#   2000#        *           
2016,rct1,3,1,4,H,4657.23,100.0,False,,,False,,,False,-702.06,234.52,False,,,False,1618.59,100.0,False,0  4 H    1    4657.23  100.00      *                 *              -702.06  234.52      *              1618.59  100.00
2016,rct1,2,2,4,He,,,False,,,False,0.0,0.0,False,,,False,,,False,-34313.0,2000.0,True,   4 He   2       *                 *                 0.0     0.0       *                 *            -34313#   2000#  
2016,rct1,1,3,4,Li,,,False,2390.47,212.13,False,,,False,,,False,3084.41,212.13,False,,,False,   4 Li   3       *              2390.47  212.13      *                 *              3084.41  212.13      *           
2016,rct1,4,1,5,H,-1800.0,89.44,False,,,False,,,False,21213.56,102.47,False,,,False,22396.21,89.44,False,0  5 H    1   -1800.00   89.44      *                 *             21213.56  102.47      *             22396.21   89.44
2016,rct1,3,2,5,He,19842.62,20.0,False,,,False,735.0,20.0,False,-25907.0,2003.0,True,,,False,-22163.27,213.07,False,   5 He   2   19842.62   20.00      *               735.00   20.00 -25907#   2003#        *            -22163.27  213.07
2016,rct1,2,3,5,Li,33131.0,2001.0,True,17848.86,50.0,False,1965.0,50.0,False,,,False,-20231.21,111.8,False,,,False,   5 Li   3   33131#   2001#    17848.86   50.00   1965.00   50.00      *            -20231.21  111.80      *           
2016,rct1,1,4,5,Be,,,False,-7630.0,2003.0,True,,,False,,,False,27425.0,2003.0,True,,,False,   5 Be   4       *             -7630#   2003#        *                 *             27425#   2003#        *           
2016,rct1,5,1,6,H,-1111.96,273.09,False,,,False,,,False,27788.84,254.13,False,,,False,22573.17,254.91,False,0  6 H    1   -1111.96  273.09      *                 *             27788.84  254.13      *             22573.17  254.91
2016,rct1,4,2,6,He,975.45,0.05,False,,,False,,,False,-782.94,5.45,False,,,False,-2158.11,50.0,False,   6 He   2     975.45    0.05      *                 *              -782.94    5.45      *             -2158.11   50.00
2016,rct1,3,3,6,Li,27378.94,212.13,False,25112.19,100.0,False,-1473.76,0.0,False,-33233.0,2003.0,True,-26094.54,89.44,False,-31123.0,2003.0,True,   6 Li   3   27378.94  212.13  25112.19  100.00  -1473.76    0.00 -33233#   2003#   -26094.54   89.44 -31123#   2003#  
2016,rct1,2,4,6,Be,,,False,-1372.18,5.45,False,,,False,,,False,-145.17,20.73,False,,,False,   6 Be   4       *             -1372.18    5.45      *                 *              -145.17   20.73      *           
2016,rct1,1,5,6,B,,,False,-7419.0,2014.0,True,,,False,,,False,28352.0,2003.0,True,,,False,   6 B    5       *             -7419#   2014#        *                 *             28352#   2003#        *           
2016,rct1,6,1,7,H,-100.0,1000.0,True,,,False,,,False,34228.0,1004.0,True,,,False,23472.0,1004.0,True,0  7 H    1    -100#   1000#        *                 *             34228#   1004#        *             23472#   1004#  
2016,rct1,5,2,7,He,1300.74,21.38,False,,,False,,,False,10304.13,7.56,False,,,False,3914.93,7.56,False,   7 He   2    1300.74   21.38      *                 *             10304.13    7.56      *              3914.93    7.56
2016,rct1,4,3,7,Li,12914.42,50.0,False,32563.28,89.44,False,-2467.62,0.0,False,-12769.44,25.15,False,-34257.59,254.13,False,-11539.24,5.45,False,   7 Li   3   12914.42   50.00  32563.28   89.44  -2467.62    0.00 -12769.44   25.15 -34257.59  254.13 -11539.24    5.45
2016,rct1,3,4,7,Be,37512.0,2003.0,True,10040.18,20.0,False,-1587.13,0.07,False,,,False,-9112.07,0.09,False,-39622.0,2003.0,True,   7 Be   4   37512#   2003#    10040.18   20.00  -1587.13    0.07      *             -9112.07    0.09 -39622#   2003#  
2016,rct1,2,5,7,B,,,False,-1419.72,55.97,False,-3415.0,2000.0,True,,,False,6300.7,25.15,False,,,False,   7 B    5       *             -1419.72   55.97  -3415#   2000#        *              6300.70   25.15      *           
2016,rct1,6,2,8,He,2125.05,0.1,False,,,False,,,False,26668.01,0.1,False,,,False,8631.26,0.09,False,0  8 He   2    2125.05    0.10      *                 *             26668.01    0.10      *              8631.26    0.09
2016,rct1,5,3,8,Li,9283.71,0.05,False,35507.86,254.13,False,-6100.24,100.0,False,-1975.76,1.0,False,-35478.0,1004.0,True,-2894.51,0.09,False,   8 Li   3    9283.71    0.05  35507.86  254.13  -6100.24  100.00  -1975.76    1.00 -35478#   1004#    -2894.51    0.09
2016,rct1,4,4,8,Be,29576.0,5.45,False,27228.37,0.06,False,91.84,0.04,False,-30122.6,18.24,False,-28420.43,7.56,False,-30806.2,25.15,False,   8 Be   4   29576.00    5.45  27228.37    0.06     91.84    0.04 -30122.60   18.24 -28420.43    7.56 -30806.20   25.15
2016,rct1,3,5,8,B,40541.0,2003.0,True,5743.25,1.0,False,-4826.54,212.13,False,,,False,725.49,1.0,False,,,False,   8 B    5   40541#   2003#     5743.25    1.00  -4826.54  212.13      *               725.49    1.00      *           
2016,rct1,2,6,8,C,,,False,-2111.29,19.04,False,,,False,,,False,12006.3,18.24,False,,,False,   8 C    6       *             -2111.29   19.04      *                 *             12006.30   18.24      *           
2016,rct1,7,2,9,He,1279.93,47.42,False,,,False,,,False,29587.37,46.82,False,,,False,11918.7,46.82,False,0  9 He   2    1279.93   47.42      *                 *             29587.37   46.82      *             11918.70   46.82
2016,rct1,6,3,9,Li,6094.84,0.19,False,38758.0,1004.0,True,-10362.46,89.44,False,12538.41,0.92,False,,,False,11941.91,0.19,False,   9 Li   3    6094.84    0.19  38758#   1004#   -10362.46   89.44  12538.41    0.92      *             11941.91    0.19
