vintage,N,Z,A,element,origin,mass_excess_keV,mass_excess_unc_keV,be_per_A_keV,be_per_A_unc_keV,beta_mode,beta_keV,beta_unc_keV,atomic_mass_u,atomic_mass_unc_micro_u,mass_estimated,be_estimated,beta_estimated,atomic_mass_estimated,mass_excess_raw,be_per_A_raw,raw_line,B_total_MeV,B_total_unc_MeV,I,even_N,even_Z
2020,10,11,21,Na,,-2184.857,0.042,7765.5581,0.002,B-,-13088.708,0.7557,20.997654459,0.045,False,False,False,False,-2184.857,7765.5581,  -1   10   11   21 Na        -2184.857       0.042      7765.5581     0.0020  B- -13088.7080     0.7557   20 997654.459       0.045   ,163.07672010000002,4.2000000000000004e-05,-0.047619047619047616,1,0
2020,9,12,21,Mg,x,10903.851,0.755,7105.0317,0.0359,B-,-16186.0,600.0,21.011705764,0.81,False,False,True,False,10903.851,7105.0317,  -3    9   12   21 Mg    x   10903.851       0.755      7105.0317     0.0359  B- -16186#       600#       21 011705.764       0.810   ,149.2056657,0.0007539000000000001,-0.14285714285714285,0,1
2020,14,8,22,O,-4n,9283.032,56.921,7364.8722,2.5873,B-,6489.6562,58.2558,22.009965744,61.107,False,False,False,False,9283.032,7364.8722,   6   14    8   22 O   -4n    9283.032      56.921      7364.8722     2.5873  B-   6489.6562    58.2558   22 009965.744      61.107   ,162.02718839999997,0.0569206,0.2727272727272727,1,1
2020,13,9,22,F,+,2793.376,12.399,7624.2954,0.5636,B-,10818.0916,12.399,22.002998812,13.31,False,False,False,False,2793.376,7624.2954,   4   13    9   22 F     +    2793.376      12.399      7624.2954     0.5636  B-  10818.0916    12.3990   22 002998.812      13.310   ,167.7344988,0.0123992,0.18181818181818182,0,0
2020,12,10,22,Ne,,-8024.716,0.018,8080.4656,0.0008,B-,-2843.3243,0.1325,21.991385113,0.018,False,False,False,False,-8024.716,8080.4656,   2   12   10   22 Ne        -8024.716       0.018      8080.4656     0.0008  B-  -2843.3243     0.1325   21 991385.113       0.018   ,177.7702432,1.76e-05,0.09090909090909091,1,1
2020,11,11,22,Na,,-5181.391,0.132,7915.6624,0.006,B-,-4781.4051,0.1631,21.994437547,0.141,False,False,False,False,-5181.391,7915.6624,   0   11   11   22 Na        -5181.391       0.132      7915.6624     0.0060  B-  -4781.4051     0.1631   21 994437.547       0.141   ,174.1445728,0.000132,0.0,0,0
2020,10,12,22,Mg,,-399.986,0.159,7662.7645,0.0072,B-,-18601.0,401.0,21.999570597,0.17,False,False,True,False,-399.986,7662.7645,  -2   10   12   22 Mg         -399.986       0.159      7662.7645     0.0072  B- -18601#       401#       21 999570.597       0.170   ,168.58081900000002,0.00015839999999999997,-0.09090909090909091,1,1
2020,15,8,23,O,x,14621.371,121.712,7163.4856,5.2918,B-,11336.1072,126.1904,23.015696686,130.663,False,False,False,False,14621.371,7163.4856,   7   15    8   23 O     x   14621.371     121.712      7163.4856     5.2918  B-  11336.1072   126.1904   23 015696.686     130.663   ,164.76016879999997,0.12171140000000001,0.30434782608695654,0,1
2020,14,9,23,F,,3285.263,33.32,7622.3447,1.4487,B-,8439.3084,33.3206,23.003526875,35.77,False,False,False,False,3285.263,7622.3447,   5   14    9   23 F          3285.263      33.320      7622.3447     1.4487  B-   8439.3084    33.3206   23 003526.875      35.770   ,175.3139281,0.033320100000000005,0.21739130434782608,1,0
2020,13,10,23,Ne,-n,-5154.045,0.104,7955.2561,0.0045,B-,4375.8085,0.1044,22.994466905,0.112,False,False,False,False,-5154.045,7955.2561,   3   13   10   23 Ne   -n   -5154.045       0.104      7955.2561     0.0045  B-   4375.8085     0.1044   22 994466.905       0.112   ,182.9708903,0.0001035,0.13043478260869565,0,1
2020,12,11,23,Na,,-9529.85352,0.00181,8111.4936,0.0002,B-,-4056.179,0.0317,22.98976928195,0.00194,False,False,False,False,-9529.85352,8111.4936,   1   12   11   23 Na        -9529.85352     0.00181    8111.4936     0.0002  B-  -4056.1790     0.0317   22 989769.28195     0.00194 ,186.5643528,4.6e-06,0.043478260869565216,1,0
2020,11,12,23,Mg,-,-5473.675,0.032,7901.1229,0.0014,B-,-12221.7457,0.3461,22.994123768,0.034,False,False,False,False,-5473.675,7901.1229,  -1   11   12   23 Mg    -   -5473.675       0.032      7901.1229     0.0014  B- -12221.7457     0.3461   22 994123.768       0.034   ,181.7258267,3.22e-05,-0.043478260869565216,0,1
2020,10,13,23,Al,--,6748.071,0.345,7335.7275,0.015,B-,-17202.0,500.0,23.007244351,0.37,False,False,True,False,6748.071,7335.7275,  -3   10   13   23 Al   --    6748.071       0.345      7335.7275     0.0150  B- -17202#       500#       23 007244.351       0.370   ,168.7217325,0.000345,-0.13043478260869565,1,0
2020,16,8,24,O,x,18500.404,164.874,7039.6855,6.8698,B-,10955.8885,191.6327,24.019861,177.0,False,False,False,False,18500.404,7039.6855,   8   16    8   24 O     x   18500.404     164.874      7039.6855     6.8698  B-  10955.8885   191.6327   24 019861.000     177.000   ,168.952452,0.1648752,0.3333333333333333,1,1
2020,15,9,24,F,x,7544.516,97.67,7463.5831,4.0696,B-,13496.1583,97.6717,24.00809937,104.853,False,False,False,False,7544.516,7463.5831,   6   15    9   24 F     x    7544.516      97.670      7463.5831     4.0696  B-  13496.1583    97.6717   24 008099.370     104.853   ,179.1259944,0.0976704,0.25,0,0
