vintage,N,Z,A,element,origin,mass_excess_keV,mass_excess_unc_keV,be_per_A_keV,be_per_A_unc_keV,beta_mode,beta_keV,beta_unc_keV,atomic_mass_u,atomic_mass_unc_micro_u,mass_estimated,be_estimated,beta_estimated,atomic_mass_estimated,mass_excess_raw,be_per_A_raw,raw_line,B_total_MeV,B_total_unc_MeV,I,even_N,even_Z
2016,8,8,16,O,,-4737.00135,0.00016,7976.206,0.0,B-,-15417.254,8.321,15.9949146196,0.00017,False,False,False,False,-4737.00135,7976.206,   0    8    8   16 O         -4737.00135    0.00016   7976.206    0.000 B- -15417.254    8.321  15 994914.61960    0.00017,127.619296,0.0,0.0,1,1
2016,9,8,17,O,,-808.76348,0.00066,7750.728,0.0,B-,-2760.465,0.248,16.99913175664,0.0007,False,False,False,False,-808.76348,7750.728,   1    9    8   17 O          -808.76348    0.00066   7750.728    0.000 B-  -2760.465    0.248  16 999131.75664    0.00070,131.762376,0.0,0.058823529411764705,0,1
2016,8,9,17,F,,1951.702,0.248,7542.328,0.015,B-,-14548.746,0.432,17.002095238,0.266,False,False,False,False,1951.702,7542.328,  -1    8    9   17 F          1951.702      0.248     7542.328    0.015 B- -14548.746    0.432  17 002095.238      0.266  ,128.219576,0.000255,-0.058823529411764705,1,0
2016,10,8,18,O,,-782.8156,0.00071,7767.097,0.0,B-,-1655.929,0.463,17.99915961284,0.00076,False,False,False,False,-782.81560,7767.097,   2   10    8   18 O          -782.81560    0.00071   7767.097    0.000 B-  -1655.929    0.463  17 999159.61284    0.00076,139.80774599999998,0.0,0.1111111111111111,1,1
2016,9,9,18,F,,873.113,0.463,7631.638,0.026,B-,-4444.501,0.589,18.000937325,0.497,False,False,False,False,873.113,7631.638,   0    9    9   18 F           873.113      0.463     7631.638    0.026 B-  -4444.501    0.589  18 000937.325      0.497  ,137.369484,0.000468,0.0,0,0
2016,8,10,18,Ne,,5317.614,0.363,7341.257,0.02,B-,-19720.374,93.882,18.005708693,0.39,False,False,False,False,5317.614,7341.257,  -2    8   10   18 Ne         5317.614      0.363     7341.257    0.020 B- -19720.374   93.882  18 005708.693      0.390  ,132.14262599999998,0.00035999999999999997,-0.1111111111111111,1,1
2016,11,8,19,O,-n,3332.858,2.637,7566.495,0.139,B-,4820.302,2.637,19.00357797,2.83,False,False,False,False,3332.858,7566.495,   3   11    8   19 O    -n    3332.858      2.637     7566.495    0.139 B-   4820.302    2.637  19 003577.970      2.830  ,143.763405,0.002641,0.15789473684210525,0,1
2016,10,9,19,F,,-1487.4442,0.00086,7779.018,0.0,B-,-3239.494,0.16,18.99840316288,0.00093,False,False,False,False,-1487.44420,7779.018,   1   10    9   19 F         -1487.44420    0.00086   7779.018    0.000 B-  -3239.494    0.160  18 998403.16288    0.00093,147.801342,0.0,0.05263157894736842,1,0
2016,9,10,19,Ne,+3n,1752.05,0.16,7567.343,0.008,B-,-11177.34,10.536,19.001880903,0.171,False,False,False,False,1752.050,7567.343,  -1    9   10   19 Ne  +3n    1752.050      0.160     7567.343    0.008 B- -11177.340   10.536  19 001880.903      0.171  ,143.779517,0.000152,-0.05263157894736842,0,1
2016,8,11,19,Na,,12929.39,10.535,6937.885,0.554,B-,-18898.998,51.099,19.013880272,11.309,False,False,False,False,12929.390,6937.885,  -3    8   11   19 Na        12929.390     10.535     6937.885    0.554 B- -18898.998   51.099  19 013880.272     11.309  ,131.819815,0.010526000000000002,-0.15789473684210525,1,0
2016,12,8,20,O,-nn,3796.172,0.885,7568.57,0.044,B-,3813.635,0.885,20.004075358,0.95,False,False,False,False,3796.172,7568.570,   4   12    8   20 O   -nn    3796.172      0.885     7568.570    0.044 B-   3813.635    0.885  20 004075.358      0.950  ,151.3714,0.0008799999999999999,0.2,1,1
2016,11,9,20,F,-n,-17.463,0.03,7720.134,0.002,B-,7024.467,0.03,19.999981252,0.031,False,False,False,False,-17.463,7720.134,   2   11    9   20 F    -n     -17.463      0.030     7720.134    0.002 B-   7024.467    0.030  19 999981.252      0.031  ,154.40268,4e-05,0.1,0,0
2016,10,10,20,Ne,,-7041.93055,0.00157,8032.24,0.0,B-,-13892.535,1.114,19.99244017619,0.00168,False,False,False,False,-7041.93055,8032.240,   0   10   10   20 Ne        -7041.93055    0.00157   8032.240    0.000 B- -13892.535    1.114  19 992440.17619    0.00168,160.64479999999998,0.0,0.0,1,1
2016,9,11,20,Na,,6850.604,1.114,7298.496,0.056,B-,-10627.088,2.171,20.007354426,1.195,False,False,False,False,6850.604,7298.496,  -2    9   11   20 Na         6850.604      1.114     7298.496    0.056 B- -10627.088    2.171  20 007354.426      1.195  ,145.96992,0.0011200000000000001,-0.1,0,0
2016,8,12,20,Mg,+t,17477.692,1.863,6728.025,0.093,B-,,,20.018763075,2.0,False,False,False,False,17477.692,6728.025,  -4    8   12   20 Mg   +t   17477.692      1.863     6728.025    0.093 B-      *               20 018763.075      2.000  ,134.5605,0.0018599999999999999,-0.2,1,1
2016,13,8,21,O,-3n,8062.035,12.0,7389.374,0.571,B-,8109.64,12.134,21.00865495,12.882,False,False,False,False,8062.035,7389.374,   5   13    8   21 O   -3n    8062.035     12.000     7389.374    0.571 B-   8109.640   12.134  21 008654.950     12.882  ,155.176854,0.011991,0.23809523809523808,0,1
2016,12,9,21,F,-nn,-47.605,1.8,7738.293,0.086,B-,5684.171,1.8,20.999948894,1.932,False,False,False,False,-47.605,7738.293,   3   12    9   21 F   -nn     -47.605      1.800     7738.293    0.086 B-   5684.171    1.800  20 999948.894      1.932  ,162.504153,0.0018059999999999999,0.14285714285714285,1,0
2016,11,10,21,Ne,,-5731.776,0.038,7971.713,0.002,B-,-3547.145,0.09,20.993846685,0.041,False,False,False,False,-5731.776,7971.713,   1   11   10   21 Ne        -5731.776      0.038     7971.713    0.002 B-  -3547.145    0.090  20 993846.685      0.041  ,167.405973,4.2000000000000004e-05,0.047619047619047616,0,1
2016,10,11,21,Na,,-2184.631,0.098,7765.547,0.005,B-,-13088.48,0.761,20.997654702,0.105,False,False,False,False,-2184.631,7765.547,  -1   10   11   21 Na        -2184.631      0.098     7765.547    0.005 B- -13088.480    0.761  20 997654.702      0.105  ,163.076487,0.00010499999999999999,-0.047619047619047616,1,0
2016,9,12,21,Mg,x,10903.85,0.755,7105.031,0.036,B-,-16086.0,596.0,21.011705764,0.81,False,False,True,False,10903.850,7105.031,  -3    9   12   21 Mg    x   10903.850      0.755     7105.031    0.036 B- -16086#     596#     21 011705.764      0.810  ,149.20565100000002,0.0007559999999999999,-0.14285714285714285,0,1
2016,14,8,22,O,-4n,9283.033,56.921,7364.871,2.587,B-,6489.66,58.256,22.009965746,61.107,False,False,False,False,9283.033,7364.871,   6   14    8   22 O   -4n    9283.033     56.921     7364.871    2.587 B-   6489.660   58.256  22 009965.746     61.107  ,162.027162,0.056914,0.2727272727272727,1,1
2016,13,9,22,F,+,2793.373,12.399,7624.295,0.564,B-,10818.092,12.399,22.002998809,13.31,False,False,False,False,2793.373,7624.295,   4   13    9   22 F     +    2793.373     12.399     7624.295    0.564 B-  10818.092   12.399  22 002998.809     13.310  ,167.73449,0.012407999999999999,0.18181818181818182,0,0
2016,12,10,22,Ne,,-8024.719,0.018,8080.465,0.001,B-,-2843.207,0.171,21.991385109,0.018,False,False,False,False,-8024.719,8080.465,   2   12   10   22 Ne        -8024.719      0.018     8080.465    0.001 B-  -2843.207    0.171  21 991385.109      0.018  ,177.77023,2.2e-05,0.09090909090909091,1,1
2016,11,11,22,Na,,-5181.511,0.171,7915.667,0.008,B-,-4781.578,0.321,21.994437418,0.183,False,False,False,False,-5181.511,7915.667,   0   11   11   22 Na        -5181.511      0.171     7915.667    0.008 B-  -4781.578    0.321  21 994437.418      0.183  ,174.144674,0.000176,0.0,0,0
2016,10,12,22,Mg,,-399.933,0.313,7662.761,0.014,B-,-18601.0,401.0,21.999570654,0.335,False,False,True,False,-399.933,7662.761,  -2   10   12   22 Mg         -399.933      0.313     7662.761    0.014 B- -18601#     401#     21 999570.654      0.335  ,168.580742,0.000308,-0.09090909090909091,1,1
