vintage,kind,N,Z,A,element,Sn_keV,Sn_unc_keV,Sn_estimated,Sp_keV,Sp_unc_keV,Sp_estimated,Q4beta_keV,Q4beta_unc_keV,Q4beta_estimated,Qda_keV,Qda_unc_keV,Qda_estimated,Qpa_keV,Qpa_unc_keV,Qpa_estimated,Qna_keV,Qna_unc_keV,Qna_estimated,raw_line
2012,rct2,1,0,1,n,0.0,0.0,False,,,False,,,False,,,False,,,False,,,False,0  1  n   0       0.0     0.0       *                 *                 *                 *                 *           
2012,rct2,0,1,1,H,,,False,0.0,0.0,False,,,False,,,False,,,False,,,False,   1 H    1       *                 0.0     0.0       *                 *                 *                 *           
2012,rct2,1,1,2,H,2224.57,0.0,False,2224.57,0.0,False,,,False,23846.53,0.0,False,,,False,,,False,0  2 H    1    2224.57    0.00   2224.57    0.00      *             23846.53    0.00      *                 *           
2012,rct2,2,1,3,H,6257.23,0.0,False,,,False,,,False,17589.3,0.0,False,19813.86,0.0,False,,,False,0  3 H    1    6257.23    0.00      *                 *             17589.30    0.00  19813.86    0.00      *           
2012,rct2,1,2,3,He,,,False,5493.48,0.0,False,,,False,18353.05,0.0,False,,,False,20577.62,0.0,False,   3 He   2       *              5493.48    0.00      *             18353.05    0.00      *             20577.62    0.00
2012,rct2,0,3,3,Li,,,False,,,False,,,False,,,False,,,False,,,False,   3 Li   3       *                 *                 *                 *                 *                 *           
2012,rct2,3,1,4,H,-1600.0,100.0,False,,,False,,,False,,,False,21413.86,100.0,False,,,False,0  4 H    1   -1600.00  100.00      *                 *                 *             21413.86  100.00      *           
2012,rct2,2,2,4,He,20577.62,0.0,False,19813.86,0.0,False,,,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,   4 He   2   20577.62    0.00  19813.86    0.00      *                 0.0     0.0       0.0     0.0       0.0     0.0 
2012,rct2,1,3,4,Li,11415.0,2011.0,True,-3103.0,212.13,False,,,False,,,False,,,False,23680.62,212.13,False,   4 Li   3   11415#   2011#    -3103.00  212.13      *                 *                 *             23680.62  212.13
2012,rct2,4,1,5,H,-200.0,134.16,False,,,False,,,False,,,False,,,False,,,False,0  5 H    1    -200.00  134.16      *                 *                 *                 *                 *           
2012,rct2,3,2,5,He,-735.0,20.0,False,20678.86,101.98,False,,,False,6992.23,20.0,False,2959.57,20.0,False,,,False,   5 He   2    -735.00   20.00  20678.86  101.98      *              6992.23   20.00   2959.57   20.00      *           
2012,rct2,2,3,5,Li,21715.62,217.94,False,-1965.0,50.0,False,,,False,7458.48,50.0,False,,,False,4189.57,50.0,False,   5 Li   3   21715.62  217.94  -1965.00   50.00      *              7458.48   50.00      *              4189.57   50.00
2012,rct2,1,4,5,Be,,,False,-4527.0,2014.0,True,,,False,19183.0,2830.0,True,,,False,,,False,   5 Be   4       *             -4527#   2014#        *             19183#   2830#        *                 *           
2012,rct2,5,1,6,H,-911.96,269.41,False,,,False,-5444.0,2019.0,True,,,False,,,False,,,False,0  6 H    1    -911.96  269.41      *             -5444#   2019#        *                 *                 *           
2012,rct2,4,2,6,He,1710.45,20.0,False,22589.32,89.44,False,,,False,3681.78,100.0,False,7506.34,0.05,False,,,False,   6 He   2    1710.45   20.00  22589.32   89.44      *              3681.78  100.00   7506.34    0.05      *           
2012,rct2,3,3,6,Li,5663.32,50.0,False,4433.32,20.0,False,,,False,22372.77,0.0,False,4019.72,0.0,False,4783.47,0.0,False,   6 Li   3    5663.32   50.00   4433.32   20.00      *             22372.77    0.00   4019.72    0.00   4783.47    0.00
2012,rct2,2,4,6,Be,26835.0,2003.0,True,592.82,50.3,False,,,False,3762.65,212.2,False,-5428.0,2000.0,True,9090.22,5.45,False,   6 Be   4   26835#   2003#      592.82   50.30      *              3762.65  212.20  -5428#   2000#     9090.22    5.45
2012,rct2,1,5,6,B,,,False,-2892.0,2832.0,True,,,False,,,False,,,False,24299.0,2830.0,True,   6 B    5       *             -2892#   2832#        *                 *                 *             24299#   2830#  
2012,rct2,6,1,7,H,812.0,1036.0,True,,,False,21459.0,1004.0,True,,,False,,,False,,,False,0  7 H    1     812#   1036#        *             21459#   1004#        *                 *                 *           
2012,rct2,5,2,7,He,-409.71,7.56,False,23091.56,254.24,False,,,False,3891.49,89.76,False,6316.06,100.29,False,,,False,   7 He   2    -409.71    7.56  23091.56  254.24      *              3891.49   89.76   6316.06  100.29      *           
2012,rct2,4,3,7,Li,7251.09,0.0,False,9973.96,0.05,False,,,False,14386.68,20.0,False,17346.24,0.0,False,-4067.62,100.0,False,   7 Li   3    7251.09    0.00   9973.96    0.05      *             14386.68   20.00  17346.24    0.00  -4067.62  100.00
2012,rct2,3,4,7,Be,10677.35,5.45,False,5606.85,0.07,False,,,False,14800.92,50.0,False,-4690.13,212.13,False,18990.48,0.07,False,   7 Be   4   10677.35    5.45   5606.85    0.07      *             14800.92   50.00  -4690.13  212.13  18990.48    0.07
2012,rct2,2,5,7,B,27715.0,2003.0,True,-2012.55,25.73,False,,,False,1249.0,2003.0,True,,,False,7999.77,213.62,False,   7 B    5   27715#   2003#    -2012.55   25.73      *              1249#   2003#        *              7999.77  213.62
2012,rct2,6,2,8,He,2534.76,7.56,False,24814.0,1004.0,True,-3454.59,18.24,False,444.77,254.13,False,3581.3,89.44,False,,,False,0  8 He   2    2534.76    7.56  24814#   1004#    -3454.59   18.24    444.77  254.13   3581.30   89.44      *           
2012,rct2,5,3,8,Li,2032.62,0.05,False,12416.29,7.56,False,,,False,14064.51,0.07,False,14578.63,20.0,False,-6300.24,89.44,False,   8 Li   3    2032.62    0.05  12416.29    7.56      *             14064.51    0.07  14578.63   20.00  -6300.24   89.44
2012,rct2,4,4,8,Be,18898.64,0.08,False,17254.4,0.04,False,,,False,1565.6,0.04,False,-1873.16,50.0,False,-643.16,20.0,False,   8 Be   4   18898.64    0.08  17254.40    0.04      *              1565.60    0.04  -1873.16   50.00   -643.16   20.00
2012,rct2,3,5,8,B,12826.29,25.17,False,136.39,1.0,False,,,False,15257.35,5.54,False,-9353.0,2003.0,True,16889.09,50.01,False,   8 B    5   12826.29   25.17    136.39    1.00      *             15257.35    5.54  -9353#   2003#    16889.09   50.01
2012,rct2,2,6,8,C,,,False,-98.75,31.07,False,,,False,-1545.0,2003.0,True,,,False,3572.0,2003.0,True,   8 C    6       *               -98.75   31.07      *             -1545#   2003#        *              3572#   2003#  
2012,rct2,7,2,9,He,-1254.9,46.82,False,,,False,12024.93,46.87,False,2512.0,1005.0,True,3924.23,258.4,False,,,False,0  9 He   2   -1254.90   46.82      *             12024.93   46.87   2512#   1005#     3924.23  258.40      *           
2012,rct2,6,3,9,Li,4062.22,0.19,False,13943.75,0.21,False,,,False,9592.58,7.56,False,12226.86,0.19,False,-11274.41,254.13,False,   9 Li   3    4062.22    0.19  13943.75    0.21      *              9592.58    7.56  12226.86    0.19 -11274.41  254.13
2012,rct2,5,4,9,Be,1664.54,0.08,False,16886.32,0.09,False,,,False,7152.15,0.08,False,2125.63,0.08,False,-597.24,0.09,False,   9 Be   4    1664.54    0.08  16886.32    0.09      *              7152.15    0.08   2125.63    0.08   -597.24    0.09
