vintage,N,Z,A,element,target_measured,Sn_keV,S2n_keV,Sp_keV,S2p_keV,Qalpha_keV,delta2n_keV,delta2p_keV
2020,1,0,1,n,True,,,,,,,
2020,0,1,1,H,True,,,,,,,
2020,1,1,2,H,True,2224.5662,,2224.5662,,,,
2020,2,1,3,H,True,6257.2300000000005,8481.7962,,,,10281.796400000001,
2020,1,2,3,He,True,,,5493.47512,7718.04132,,,
2020,0,3,3,Li,False,,,,,,,
2020,3,1,4,H,True,-1599.9998000000005,4657.2302,,,,5769.189600000001,
2020,2,2,4,He,True,20577.62108,,19813.8662,,,,
2020,1,3,4,Li,True,,,-3103.0001200000006,2390.4749999999995,,,
2020,4,1,5,H,True,-200.0003999999999,-1800.0002000000004,,,,,
2020,3,2,5,He,True,-734.9999000000025,19842.62118,20678.8661,,734.9999000000025,18541.87908,
2020,2,3,5,Li,True,21715.6213,,-1964.9999000000025,17848.866299999998,1964.9999000000025,,19268.590299999996
2020,1,4,5,Be,False,,,,,,,
2020,5,1,6,H,True,-911.9590000000007,-1111.9594000000006,,,,,
2020,4,2,6,He,True,1710.4569000000047,975.4570000000022,22589.3234,,,-1149.591599999996,
2020,3,3,6,Li,True,5663.324699999997,27378.945999999996,4433.324699999997,25112.190799999997,-1473.7585999999937,18095.23399999999,19368.937199999993
2020,2,4,6,Be,True,,,592.8243000000002,-1372.1756000000023,,,739.1175999999978
2020,1,5,6,B,False,,,,,,,
2020,6,1,7,H,False,,,,,,,
2020,5,2,7,He,True,-409.7148000000052,1300.7420999999995,23091.5676,,,20.804699999996956,
2020,4,3,7,Li,True,7251.093500000003,12914.4182,9973.961299999995,32563.284699999997,-2467.6221000000005,6819.582399999999,15494.723700000002
2020,3,4,7,Be,True,10677.354100000004,,5606.853700000007,10040.178400000004,-1587.137179999998,,8604.209600000002
2020,2,5,7,B,True,,,-2012.5482999999986,-1419.7239999999983,,,
2020,6,2,8,He,True,2534.7634000000035,2125.0485999999983,,,,3569.8765999999996,
2020,5,3,8,Li,True,2032.6185000000041,9283.712000000007,12416.294600000005,35507.8622,-6100.240400000002,5247.899200000007,12034.726400000007
2020,4,4,8,Be,True,18898.643899999995,29575.998,17254.4041,27228.365399999995,91.84000000000378,21099.176799999994,23407.424199999994
2020,3,5,8,B,True,12826.3023,,136.3998999999967,5743.253600000004,-4826.537199999999,,7043.770400000001
2020,2,6,8,C,True,,,-98.74490000000151,-2111.2932,,,
2020,7,2,9,He,True,-1254.826000000001,1279.9374000000025,,,,,
2020,6,3,9,Li,True,4062.2172999999966,6094.835800000001,13943.748499999998,,-10362.458099999996,5725.553599999999,
2020,5,4,9,Be,True,1664.5388999999996,20563.182799999995,16886.324499999995,29302.6191,-2307.6987999999983,13249.264299999988,14025.623499999998
2020,4,5,9,B,True,18576.400899999993,31402.703199999993,-185.8431000000055,17068.560999999994,-1687.3167999999932,11511.289599999993,14439.777399999992
2020,3,6,9,C,True,14224.616100000007,,1299.5689000000057,1435.9688000000024,,,5685.969300000012
2020,8,2,10,He,True,-190.0020000000004,-1444.8280000000013,,,,,
2020,7,3,10,Li,True,-26.404499999996915,4035.8127999999997,15172.170000000002,,-11248.012600000002,3850.126000000004,
2020,6,4,10,Be,True,6812.282300000006,8476.821200000006,19636.389500000005,33580.138000000006,-7409.5242,4804.459600000009,6394.708800000015
2020,5,5,10,B,True,8437.193300000006,27013.5942,6586.811300000001,23473.135799999996,-4461.185400000002,12189.7448,14182.650800000003
2020,4,6,10,C,True,21283.616299999994,35508.2324,4006.7843000000066,3820.941200000001,-5101.2768,3666.9232000000047,5557.66120000001
2020,3,7,10,N,True,,,-2600.0857000000033,-1300.5167999999976,,,
2020,8,3,11,Li,True,395.6866999999984,369.28220000000147,15757.8587,,,479.281799999997,
2020,7,4,11,Be,True,501.6362000000008,7313.918500000007,20164.430200000003,35336.6002,-8320.87520000001,4653.19400000001,3706.498900000006
2020,6,5,11,B,True,11454.220299999994,19891.4136,11228.749299999989,30865.138799999993,-8664.3122,11643.016699999993,12964.96989999999
2020,5,6,11,C,True,13120.5933,34404.209599999995,8690.1843,15276.995600000002,-7544.515999999989,10737.185399999995,13165.0881
2020,4,7,11,N,True,22505.701299999993,,-1378.0007000000041,2628.7836000000025,-5735.82439999999,,
2020,3,8,11,O,True,,,-1649.914800000006,-4250.000500000009,,,
2020,9,3,12,Li,True,-209.99990000000253,185.68679999999586,,,,,
2020,8,4,12,Be,True,3170.7253999999957,3672.3615999999965,22939.4689,38697.327600000004,-8956.837199999994,2406.466999999997,2061.5179999999964
2020,7,5,12,B,True,3369.6291000000056,14823.8494,14096.742199999993,34261.172399999996,-10001.322799999994,8975.502400000005,9177.249599999996
2020,6,6,12,C,True,18720.715899999996,31841.309199999996,15956.679900000003,27185.42919999999,-7366.587999999989,18718.567199999983,20615.268199999984
2020,5,7,12,N,True,15098.894699999997,37604.59599999999,600.3006999999925,9290.484999999993,-8008.416799999992,6987.308799999984,9338.877599999985
2020,4,8,12,O,True,23796.896799999995,,-358.7193000000043,-1736.7200000000084,-5475.849999999991,,
2020,10,3,13,Li,True,100.00030000000697,-109.99959999999555,,,,,
2020,9,4,13,Be,True,-510.0008999999991,2660.7244999999966,22639.467900000003,,-9701.662299999996,2684.829199999993,
2020,8,5,13,B,True,4878.767800000001,8248.396900000007,15804.784599999999,38744.2535,-10817.873300000007,4501.1921,7705.801200000009
