vintage,kind,N,Z,A,element,Sn_keV,Sn_unc_keV,Sn_estimated,Sp_keV,Sp_unc_keV,Sp_estimated,Q4beta_keV,Q4beta_unc_keV,Q4beta_estimated,Qda_keV,Qda_unc_keV,Qda_estimated,Qpa_keV,Qpa_unc_keV,Qpa_estimated,Qna_keV,Qna_unc_keV,Qna_estimated,raw_line
2020,rct2,87,70,157,Yb,8225.6925,13.7282,False,3874.4662,17.5912,False,-33730.0,400.0,True,13916.8161,14.6866,False,5871.2854,18.0473,False,14831.4639,11.8412,False, 157 Yb  70    8225.6925   13.7282   3874.4662   17.5912 -33730#      400#      13916.8161   14.6866   5871.2854   18.0473  14831.4639   11.8412
2020,rct2,86,71,157,Lu,10811.5863,55.4521,False,463.2513,12.4366,False,,,False,14773.6031,20.5263,False,8356.3301,21.0744,False,13633.7266,18.7914,False, 157 Lu  71   10811.5863   55.4521    463.2513   12.4366      *                 14773.6031   20.5263   8356.3301   21.0744  13633.7266   18.7914
2020,rct2,85,72,157,Hf,9107.0,250.0,True,2444.0,207.0,True,,,False,14401.0,201.0,True,5675.9502,13.6176,False,16724.0,201.0,True, 157 Hf  72    9107#      250#       2444#      207#          *                 14401#      201#       5675.9502   13.6176  16724#      201#    
2020,rct2,84,73,157,Ta,11666.0,335.0,True,-934.5958,9.6737,False,,,False,15425.0,335.0,True,7998.0,335.0,True,15717.0,251.0,True, 157 Ta  73   11666#      335#       -934.5958    9.6737      *                 15425#      335#       7998#      335#      15717#      251#    
2020,rct2,83,74,157,W,,,False,978.0,500.0,True,,,False,15009.0,500.0,True,,,False,18686.0,500.0,True, 157 W   74       *                   978#      500#          *                 15009#      500#          *                 18686#      500#    
2020,rct2,100,58,158,Ce,4681.0,565.0,True,14759.0,500.0,True,28712.0,400.0,True,7221.0,565.0,True,6255.0,565.0,True,,,False,0158 Ce  58    4681#      565#      14759#      500#      28712#      400#       7221#      565#       6255#      565#          *               
2020,rct2,99,59,158,Pr,3787.0,300.0,True,11509.0,500.0,True,23120.0,300.0,True,11381.0,424.0,True,8494.0,424.0,True,-573.0,500.0,True, 158 Pr  59    3787#      300#      11509#      500#      23120#      300#      11381#      424#       8494#      424#       -573#      500#    
2020,rct2,98,60,158,Nd,5412.3248,2.5036,False,12689.2886,3.4251,False,16854.8462,1.6291,False,8324.9907,1.6585,False,6444.2672,17.2473,False,-409.0,300.0,True, 158 Nd  60    5412.3248    2.5036  12689.2886    3.4251  16854.8462    1.6291   8324.9907    1.6585   6444.2672   17.2473   -409#      300#    
2020,rct2,97,61,158,Pm,4880.345,7.062,False,9900.9973,2.3141,False,10364.7405,1.3358,False,11806.794,1.5776,False,8041.7085,9.1964,False,1955.5946,17.2207,False, 158 Pm  61    4880.3450    7.0620   9900.9973    2.3141  10364.7405    1.3358  11806.7940    1.5776   8041.7085    9.1964   1955.5946   17.2207
2020,rct2,96,62,158,Sm,6645.5135,6.4893,False,10243.7042,8.4592,False,5155.3029,5.3223,False,9625.8054,4.9226,False,6552.2118,6.6882,False,2678.3493,10.3085,False, 158 Sm  62    6645.5135    6.4893  10243.7042    8.4592   5155.3029    5.3223   9625.8054    4.9226   6552.2118    6.6882   2678.3493   10.3085
2020,rct2,95,63,158,Eu,5882.6452,4.6967,False,7881.7788,4.8765,False,-1083.0649,27.1818,False,12801.0809,8.761,False,7784.7994,2.4298,False,5315.9465,5.137,False, 158 Eu  63    5882.6452    4.6967   7881.7788    4.8765  -1083.0649   27.1818  12801.0809    8.7610   7784.7994    2.4298   5315.9465    5.1370
