vintage,kind,N,Z,A,element,S2n_keV,S2n_unc_keV,S2n_estimated,S2p_keV,S2p_unc_keV,S2p_estimated,Qalpha_keV,Qalpha_unc_keV,Qalpha_estimated,Q2beta_keV,Q2beta_unc_keV,Q2beta_estimated,Qep_keV,Qep_unc_keV,Qep_estimated,Qbeta_n_keV,Qbeta_n_unc_keV,Qbeta_n_estimated,raw_line
2012,rct1,70,63,133,Eu,24109.0,499.0,True,1891.0,357.0,True,3220.0,422.0,True,,,False,7103.0,333.0,True,,,False, 133 Eu  63   24109#    499#     1891#    357#     3220#    422#        *              7103#    333#        *           
2012,rct1,69,64,133,Gd,,,False,466.0,643.0,True,3695.0,711.0,True,,,False,11769.0,585.0,True,,,False, 133 Gd  64       *               466#    643#     3695#    711#        *             11769#    585#        *           
2012,rct1,85,49,134,In,5394.0,304.0,True,,,False,-8166.0,447.0,True,22360.0,298.0,True,,,False,11142.0,298.0,True,0134 In  49    5394#    304#        *             -8166#    447#    22360#    298#        *             11142#    298#  
2012,rct1,84,50,134,Sn,6030.95,4.37,False,30747.0,196.0,True,-7323.28,164.5,False,16103.77,4.28,False,-29801.0,298.0,True,4418.96,4.57,False, 134 Sn  50    6030.95    4.37  30747#    196#    -7323.28  164.50  16103.77    4.28 -29801#    298#     4418.96    4.57
2012,rct1,83,51,134,Sb,10527.6,3.19,False,26189.57,60.09,False,-6561.6,38.1,False,10038.56,5.77,False,-23846.0,196.0,True,840.2,3.99,False, 134 Sb  51   10527.60    3.19  26189.57   60.09  -6561.60   38.10  10038.56    5.77 -23846#    196#      840.20    3.99
2012,rct1,82,52,134,Te,13490.44,4.45,False,20570.02,4.01,False,-4828.05,3.49,False,5588.31,2.88,False,-18950.76,3.64,False,-4720.74,5.43,False, 134 Te  52   13490.44    4.45  20570.02    4.01  -4828.05    3.49   5588.31    2.88 -18950.76    3.64  -4720.74    5.43
2012,rct1,81,53,134,I,14498.25,6.85,False,19001.47,6.14,False,-4197.75,15.27,False,2832.05,5.51,False,-12425.57,6.36,False,-4486.85,6.01,False, 134 I   53   14498.25    6.85  19001.47    6.14  -4197.75   15.27   2832.05    5.51 -12425.57    6.36  -4486.85    6.01
2012,rct1,80,54,134,Xe,14987.97,0.84,False,17514.06,3.59,False,-3196.27,0.84,False,825.75,0.89,False,-12481.21,3.7,False,-8124.69,0.84,False, 134 Xe  54   14987.97    0.84  17514.06    3.59  -3196.27    0.84    825.75    0.89 -12481.21    3.70  -8124.69    0.84
2012,rct1,79,55,134,Cs,15877.54,2.0,False,15765.61,4.07,False,-2379.91,3.17,False,-1672.5,19.93,False,-8293.55,4.66,False,-7408.88,0.99,False, 134 Cs  55   15877.54    2.00  15765.61    4.07  -2379.91    3.17  -1672.50   19.93  -8293.55    4.66  -7408.88    0.99
2012,rct1,78,56,134,Ba,16657.7,1.09,False,14249.03,0.28,False,-1494.51,0.28,False,-4117.17,20.39,False,-8595.45,2.42,False,-11526.99,27.95,False, 134 Ba  56   16657.70    1.09  14249.03    0.28  -1494.51    0.28  -4117.17   20.39  -8595.45    2.42 -11526.99   27.95
2012,rct1,77,57,134,La,17637.65,41.46,False,12640.34,20.03,False,-743.82,21.61,False,-6690.66,28.46,False,-4436.69,19.93,False,-10871.75,25.78,False, 134 La  57   17637.65   41.46  12640.34   20.03   -743.82   21.61  -6690.66   28.46  -4436.69   19.93 -10871.75   25.78
2012,rct1,76,58,134,Ce,18504.56,28.88,False,10975.84,20.41,False,3.93,20.55,False,-9186.46,23.56,False,-4568.27,20.41,False,-14966.63,23.91,False, 134 Ce  58   18504.56   28.88  10975.84   20.41      3.93   20.55  -9186.46   23.56  -4568.27   20.41 -14966.63   23.91
2012,rct1,75,59,134,Pr,19457.14,60.34,False,9382.3,41.65,False,674.46,32.95,False,-11789.24,61.22,False,-322.58,34.55,False,-14266.94,50.81,False, 134 Pr  59   19457.14   60.34   9382.30   41.65    674.46   32.95 -11789.24   61.22   -322.58   34.55 -14266.94   50.81
2012,rct1,74,60,134,Nd,20363.26,26.94,False,7753.41,23.62,False,1351.56,30.34,False,-14270.0,196.0,True,-517.19,20.18,False,-18310.1,51.67,False, 134 Nd  60   20363.26   26.94   7753.41   23.62   1351.56   30.34 -14270#    196#     -517.19   20.18 -18310.10   51.67
2012,rct1,73,61,134,Pm,21254.0,160.0,True,6103.21,81.02,False,2011.79,86.41,False,-16811.0,304.0,True,3909.86,59.09,False,-17579.0,304.0,True, 134 Pm  61   21254#    160#     6103.21   81.02   2011.79   86.41 -16811#    304#     3909.86   59.09 -17579#    304#  
2012,rct1,72,62,134,Sm,22440.0,357.0,True,4528.0,197.0,True,2795.0,198.0,True,-20074.0,446.0,True,3667.0,201.0,True,-22211.0,357.0,True, 134 Sm  62   22440#    357#     4528#    197#     2795#    198#   -20074#    446#     3667#    201#   -22211#    357#  
2012,rct1,71,63,134,Eu,23846.0,499.0,True,2878.0,333.0,True,3043.0,357.0,True,,,False,8191.0,302.0,True,-21979.0,585.0,True, 134 Eu  63   23846#    499#     2878#    333#     3043#    357#        *              8191#    302#   -21979#    585#  
2012,rct1,70,64,134,Gd,,,False,801.0,499.0,True,3779.0,566.0,True,,,False,8640.0,499.0,True,,,False, 134 Gd  64       *               801#    499#     3779#    566#        *              8640#    499#        *           
2012,rct1,86,49,135,In,5207.0,446.0,True,,,False,,,False,23161.0,401.0,True,,,False,11833.0,401.0,True,0135 In  49    5207#    446#        *                 *             23161#    401#        *             11833#    401#  
2012,rct1,85,50,135,Sn,5900.67,3.89,False,31290.0,298.0,True,-7726.0,196.0,True,17095.62,4.09,False,,,False,5316.98,3.52,False, 135 Sn  50    5900.67    3.89  31290#    298#    -7726#    196#    17095.62    4.09      *              5316.98    3.52
