vintage,kind,N,Z,A,element,Sn_keV,Sn_unc_keV,Sn_estimated,Sp_keV,Sp_unc_keV,Sp_estimated,Q4beta_keV,Q4beta_unc_keV,Q4beta_estimated,Qda_keV,Qda_unc_keV,Qda_estimated,Qpa_keV,Qpa_unc_keV,Qpa_estimated,Qna_keV,Qna_unc_keV,Qna_estimated,raw_line
2016,rct2,1,0,1,n,0.0,0.0,False,,,False,,,False,,,False,,,False,,,False,0  1  n   0       0.0     0.0       *                 *                 *                 *                 *           
2016,rct2,0,1,1,H,,,False,0.0,0.0,False,,,False,,,False,,,False,,,False,   1 H    1       *                 0.0     0.0       *                 *                 *                 *           
2016,rct2,1,1,2,H,2224.57,0.0,False,2224.57,0.0,False,,,False,23846.53,0.0,False,,,False,,,False,0  2 H    1    2224.57    0.00   2224.57    0.00      *             23846.53    0.00      *                 *           
2016,rct2,2,1,3,H,6257.23,0.0,False,,,False,,,False,17589.3,0.0,False,19813.86,0.0,False,,,False,0  3 H    1    6257.23    0.00      *                 *             17589.30    0.00  19813.86    0.00      *           
2016,rct2,1,2,3,He,,,False,5493.47,0.0,False,,,False,18353.05,0.0,False,,,False,20577.62,0.0,False,   3 He   2       *              5493.47    0.00      *             18353.05    0.00      *             20577.62    0.00
2016,rct2,0,3,3,Li,,,False,,,False,,,False,,,False,,,False,,,False,   3 Li   3       *                 *                 *                 *                 *                 *           
2016,rct2,3,1,4,H,-1600.0,100.0,False,,,False,,,False,,,False,21413.86,100.0,False,,,False,0  4 H    1   -1600.00  100.00      *                 *                 *             21413.86  100.00      *           
2016,rct2,2,2,4,He,20577.62,0.0,False,19813.86,0.0,False,,,False,0.0,0.0,False,0.0,0.0,False,0.0,0.0,False,   4 He   2   20577.62    0.00  19813.86    0.00      *                 0.0     0.0       0.00    0.00      0.0     0.0 
2016,rct2,1,3,4,Li,11415.0,2011.0,True,-3103.0,212.13,False,,,False,,,False,,,False,23680.62,212.13,False,   4 Li   3   11415#   2011#    -3103.00  212.13      *                 *                 *             23680.62  212.13
2016,rct2,4,1,5,H,-200.0,134.16,False,,,False,,,False,,,False,,,False,,,False,0  5 H    1    -200.00  134.16      *                 *                 *                 *                 *           
2016,rct2,3,2,5,He,-735.0,20.0,False,20678.86,101.98,False,,,False,6992.23,20.0,False,2959.57,20.0,False,,,False,   5 He   2    -735.00   20.00  20678.86  101.98      *              6992.23   20.00   2959.57   20.00      *           
2016,rct2,2,3,5,Li,21715.62,217.94,False,-1965.0,50.0,False,,,False,7458.47,50.0,False,,,False,4189.57,50.0,False,   5 Li   3   21715.62  217.94  -1965.00   50.00      *              7458.47   50.00      *              4189.57   50.00
2016,rct2,1,4,5,Be,,,False,-4527.0,2014.0,True,,,False,19183.0,2830.0,True,,,False,,,False,   5 Be   4       *             -4527#   2014#        *             19183#   2830#        *                 *           
2016,rct2,5,1,6,H,-911.96,269.41,False,,,False,-5444.0,2019.0,True,,,False,,,False,,,False,0  6 H    1    -911.96  269.41      *             -5444#   2019#        *                 *                 *           
2016,rct2,4,2,6,He,1710.45,20.0,False,22589.32,89.44,False,,,False,3681.77,100.0,False,7506.34,0.05,False,,,False,   6 He   2    1710.45   20.00  22589.32   89.44      *              3681.77  100.00   7506.34    0.05      *           
