old_vintage,new_vintage,N,Z,A,element,label,delta_mass_excess_keV,new_primary_eligible,new_broad_eligible,old_mass_excess_keV,new_mass_excess_keV
2016,2020,1,0,1,n,changed,0.0009299999992435914,False,False,8071.31713,8071.31806
2016,2020,0,1,1,H,changed,0.00045399999999062857,False,False,7288.97061,7288.971064
2016,2020,1,1,2,H,changed,0.0011350000004313188,False,False,13135.72176,13135.722895
2016,2020,2,1,3,H,changed,0.0009700000009615906,False,False,14949.80993,14949.8109
2016,2020,1,2,3,He,changed,0.0009499999996478437,False,False,14931.21793,14931.21888
2016,2020,3,1,4,H,changed,0.0020000000004074536,False,False,24621.127,24621.129
2016,2020,2,2,4,He,changed,0.00025999999979831045,False,False,2424.91561,2424.91587
2016,2020,1,3,4,Li,changed,0.0010000000002037268,False,False,25323.189,25323.19
2016,2020,4,1,5,H,changed,0.0029999999969732016,False,False,32892.444,32892.447
2016,2020,3,2,5,He,changed,0.0010000000002037268,False,False,11231.233,11231.234
2016,2020,2,3,5,Li,changed,0.0010000000002037268,False,False,11678.886,11678.887
2016,2020,5,1,6,H,changed,0.004000000000814907,False,False,41875.721,41875.725
2016,2020,4,2,6,He,unchanged,0.0,False,False,17592.095,17592.095
2016,2020,3,3,6,Li,changed,0.0014900000005582115,False,False,14086.87895,14086.88044
2016,2020,2,4,6,Be,changed,0.0010000000002037268,False,False,18375.033,18375.034
2016,2020,5,2,7,He,changed,0.0020000000004074536,False,False,26073.126,26073.128
2016,2020,4,3,7,Li,changed,-0.0006599999996979022,False,False,14907.10529,14907.10463
2016,2020,3,4,7,Be,changed,-0.0010000000002037268,False,False,15768.999,15768.998
2016,2020,2,5,7,B,changed,0.0030000000006111804,False,False,27676.55,27676.553
2016,2020,6,2,8,He,changed,0.0020000000004074536,False,False,31609.681,31609.683
2016,2020,5,3,8,Li,changed,0.0010000000002037268,False,False,20945.804,20945.805
2016,2020,4,4,8,Be,changed,0.0009999999992942321,False,False,4941.671,4941.672
2016,2020,3,5,8,B,changed,0.0020000000004074536,False,False,22921.567,22921.569
2016,2020,2,6,8,C,changed,0.0010000000038417056,False,False,35064.268,35064.269
2016,2020,7,2,9,He,unchanged,0.0,False,False,40935.826,40935.826
2016,2020,6,3,9,Li,changed,0.0030000000006111804,False,False,24954.902,24954.905
2016,2020,5,4,9,Be,changed,-0.0020000000004074536,False,False,11348.453,11348.451
2016,2020,4,5,9,B,changed,-0.0019999999985884642,False,False,12416.488,12416.486
2016,2020,3,6,9,C,changed,-0.0010000000002037268,False,False,28910.972,28910.971
2016,2020,8,2,10,He,changed,0.004000000000814907,False,False,49197.143,49197.147
2016,2020,7,3,10,Li,changed,0.00399999999353895,False,False,33052.624,33052.628
2016,2020,6,4,10,Be,changed,-0.0010000000002037268,False,False,12607.488,12607.487
2016,2020,5,5,10,B,changed,0.0020000000004074536,False,False,12050.609,12050.611
2016,2020,4,6,10,C,changed,0.0010000000002037268,False,False,15698.672,15698.673
2016,2020,3,7,10,N,changed,0.0010000000038417056,False,False,38800.026,38800.027
2016,2020,8,3,11,Li,changed,0.004999999997380655,False,False,40728.254,40728.259
2016,2020,7,4,11,Be,changed,0.0020000000004074536,False,False,20177.167,20177.169
2016,2020,6,5,11,B,changed,0.0010000000002037268,False,False,8667.707,8667.708
2016,2020,5,6,11,C,changed,0.0010000000002037268,False,False,10649.396,10649.397
2016,2020,4,7,11,N,changed,62.08499999999913,False,False,24303.559,24365.644
2016,2020,3,8,11,O,new,,False,False,,47738.913
2016,2020,9,3,12,Li,changed,0.005999999993946403,False,False,49009.571,49009.577
2016,2020,8,4,12,Be,changed,0.0010000000002037268,False,False,25077.76,25077.761
2016,2020,7,5,12,B,changed,0.0009999999983847374,False,False,13369.397,13369.398
2016,2020,6,6,12,C,unchanged,0.0,False,False,0.0,0.0
2016,2020,5,7,12,N,unchanged,0.0,False,False,17338.068,17338.068
2016,2020,4,8,12,O,changed,98.72199999999793,False,False,31914.613,32013.335
2016,2020,10,3,13,Li,changed,0.006999999997788109,False,False,56980.888,56980.895
2016,2020,9,4,13,Be,changed,0.0030000000042491592,False,False,33659.077,33659.08
2016,2020,8,5,13,B,changed,0.0010000000002037268,False,False,16561.947,16561.948
2016,2020,7,6,13,C,changed,0.0004500000000007276,False,False,3125.00888,3125.00933
2016,2020,6,7,13,N,unchanged,0.0,False,False,5345.481,5345.481
2016,2020,5,8,13,O,unchanged,0.0,False,False,23115.432,23115.432
2016,2020,10,4,14,Be,changed,0.004000000000814907,False,False,39954.498,39954.502
2016,2020,9,5,14,B,changed,0.0010000000002037268,False,False,23663.685,23663.686
2016,2020,8,6,14,C,changed,0.0004999999996471161,False,False,3019.89278,3019.89328
2016,2020,7,7,14,N,changed,0.00010999999994965037,False,False,2863.41672,2863.41683
2016,2020,6,8,14,O,unchanged,0.0,False,False,8007.781,8007.781
2016,2020,5,9,14,F,changed,0.0010000000002037268,False,False,31964.402,31964.403
