vintage,N,Z,A,element,target_measured,Sn_keV,S2n_keV,Sp_keV,S2p_keV,Qalpha_keV,delta2n_keV,delta2p_keV
2016,1,0,1,n,True,,,,,,,
2016,0,1,1,H,True,,,,,,,
2016,1,1,2,H,True,2224.566,,2224.566,,,,
2016,2,1,3,H,True,6257.229,8481.795,,,,10281.795,
2016,1,2,3,He,True,,,5493.473999999999,7718.039999999999,,,
2016,0,3,3,Li,False,,,,,,,
2016,3,1,4,H,True,-1599.9989999999998,4657.2300000000005,,,,5769.192000000001,
2016,2,2,4,He,True,20577.620000000003,,19813.864999999998,,,,
2016,1,3,4,Li,True,,,-3102.999999999999,2390.474,,,
2016,4,1,5,H,True,-200.0010000000002,-1800.0,,,,,
2016,3,2,5,He,True,-735.0000000000036,19842.619999999995,20678.863999999994,,735.0000000000036,18541.880999999994,
2016,2,3,5,Li,True,21715.619999999995,,-1965.0000000000036,17848.864999999998,1965.0000000000036,,19268.589999999997
2016,1,4,5,Be,False,,,,,,,
2016,5,1,6,H,True,-911.9610000000002,-1111.9620000000004,,,,,
2016,4,2,6,He,True,1710.4540000000052,975.4540000000015,22589.319000000003,,,-1149.591999999997,
2016,3,3,6,Li,True,5663.326000000005,27378.946,4433.326000000005,25112.190000000002,-1473.760000000002,18095.235999999997,19368.936000000005
2016,2,4,6,Be,True,,,592.8220000000074,-1372.1779999999962,,,739.1120000000083
2016,1,5,6,B,False,,,,,,,
2016,6,1,7,H,False,,,,,,,
2016,5,2,7,He,True,-409.7150000000038,1300.7390000000014,23091.565,,,20.80500000000029,
2016,4,3,7,Li,True,7251.087000000003,12914.413000000008,9973.959000000003,32563.278000000006,-2467.618000000002,6819.574000000015,15494.721000000012
2016,3,4,7,Be,True,10677.353999999992,,5606.849999999995,10040.176,-1587.1359999999986,,8604.204999999994
2016,2,5,7,B,True,,,-2012.547000000006,-1419.7249999999985,,,
2016,6,2,8,He,True,2534.7610000000022,2125.0459999999985,,,,3569.865999999998,
2016,5,3,8,Li,True,2032.6229999999996,9283.710000000003,12416.297000000006,35507.862,-6100.240000000005,5247.896000000012,12034.72800000001
2016,4,4,8,Be,True,18898.644000000008,29575.998,17254.407,27228.366,91.83999999999651,21099.178,23407.426
2016,3,5,8,B,True,12826.305,,136.40400000000227,5743.253999999997,-4826.540000000001,,7043.773999999994
2016,2,6,8,C,True,,,-98.74299999999857,-2111.2900000000045,,,
2016,7,2,9,He,True,-1254.8270000000011,1279.934000000001,,,,,
2016,6,3,9,Li,True,4062.215999999993,6094.838999999993,13943.751999999997,,-10362.456999999995,5725.559999999983,
2016,5,4,9,Be,True,1664.531999999992,20563.176,16886.31599999999,29302.612999999998,-2307.6920000000027,13249.247999999992,14025.60899999999
2016,4,5,9,B,True,18576.39,31402.695,-185.85000000000582,17068.556999999993,-1687.310000000005,11511.273000000001,14377.68099999999
2016,3,6,9,C,True,14224.615000000002,,1299.5670000000027,1435.971000000005,,,
2016,8,2,10,He,True,-189.99299999999857,-1444.8199999999997,,,,,
